variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
per_feature,country_composite_long_only_monthly,scaled,2021,32.3011,5.4036,5.9777,0.3375,33.7788,11
per_feature,country_composite_long_only_monthly,scaled,2022,9.2471,9.0706,1.0195,3.2681,9.246,12
per_feature,country_composite_long_only_monthly,scaled,2023,14.3659,8.2642,1.7383,3.0851,15.002,12
per_feature,country_composite_long_only_monthly,scaled,2024,17.1179,8.5735,1.9966,0.4423,18.1517,12
per_feature,country_composite_long_only_monthly,scaled,2025,14.3426,6.9151,2.0741,2.5739,15.0775,12
per_feature,country_composite_long_only_monthly,scaled,2026,43.1119,0.0,,0.0,3.5927,1
per_feature,country_composite_long_only_monthly,unscaled,2021,52.6461,8.8067,5.9779,0.5555,59.8881,11
per_feature,country_composite_long_only_monthly,unscaled,2022,14.6427,14.3263,1.0221,5.1028,14.6208,12
per_feature,country_composite_long_only_monthly,unscaled,2023,21.3458,11.5536,1.8475,3.8881,22.8442,12
per_feature,country_composite_long_only_monthly,unscaled,2024,20.1975,10.0046,2.0188,0.5467,21.6545,12
per_feature,country_composite_long_only_monthly,unscaled,2025,16.7055,8.0988,2.0627,3.0329,17.7012,12
per_feature,country_composite_long_only_monthly,unscaled,2026,48.9408,0.0,,0.0,4.0784,1
per_feature,country_composite_long_short_monthly,scaled,2021,37.1884,13.0684,2.8457,1.715,38.9659,11
per_feature,country_composite_long_short_monthly,scaled,2022,50.4448,10.5232,4.7937,0.9068,63.138,12
per_feature,country_composite_long_short_monthly,scaled,2023,15.3994,5.2194,2.9504,1.3895,16.3924,12
per_feature,country_composite_long_short_monthly,scaled,2024,24.4812,13.0228,1.8799,2.4143,26.507,12
per_feature,country_composite_long_short_monthly,scaled,2025,0.2495,8.8396,0.0282,6.423,-0.1134,12
per_feature,country_composite_long_short_monthly,scaled,2026,-46.459,0.0,,0.0,-3.8716,1
per_feature,country_composite_long_short_monthly,unscaled,2021,32.8553,11.5518,2.8442,1.522,33.8944,11
per_feature,country_composite_long_short_monthly,unscaled,2022,50.3628,10.5551,4.7714,0.8991,63.0055,12
per_feature,country_composite_long_short_monthly,unscaled,2023,16.3287,5.6263,2.9022,1.5339,17.4419,12
per_feature,country_composite_long_short_monthly,unscaled,2024,26.0761,13.4697,1.9359,2.6783,28.4327,12
per_feature,country_composite_long_short_monthly,unscaled,2025,0.288,9.5246,0.0302,6.8735,-0.1336,12
per_feature,country_composite_long_short_monthly,unscaled,2026,-49.5294,0.0,,0.0,-4.1274,1
