variant,construction,scaling,metric,value
fourier,country_composite_long_short_monthly,unscaled,annualised_return,0.22288638356077461
fourier,country_composite_long_short_monthly,scaled,annualised_vol,0.11602829868849371
fourier,country_composite_long_short_monthly,unscaled,annualised_vol,0.16843942115815258
fourier,country_composite_long_short_monthly,scaled,sharpe_ratio,1.2567488821416761
fourier,country_composite_long_short_monthly,unscaled,sharpe_ratio,1.2857972198027572
fourier,country_composite_long_short_monthly,scaled,max_drawdown,0.12037766219755468
fourier,country_composite_long_short_monthly,unscaled,max_drawdown,0.17113300739021217
fourier,country_composite_long_short_monthly,scaled,n_rebalances,60.0
fourier,country_composite_long_short_monthly,unscaled,n_rebalances,60.0
linear,long_only,scaled,cumulative_return,0.7688652259998459
linear,long_only,unscaled,cumulative_return,3.143185503678124
linear,long_only,scaled,annualised_return,0.1208279408893429
linear,long_only,unscaled,annualised_return,0.32882220196564593
linear,long_only,scaled,annualised_vol,0.07350408912702255
linear,long_only,unscaled,annualised_vol,0.20569634793026412
linear,long_only,scaled,sharpe_ratio,1.628245377917245
linear,long_only,unscaled,sharpe_ratio,1.5628838138174324
linear,long_only,scaled,max_drawdown,0.02366784725996358
linear,long_only,unscaled,max_drawdown,0.04566371951990527
linear,long_only,scaled,n_rebalances,10.0
linear,long_only,unscaled,n_rebalances,10.0
linear,long_short,scaled,cumulative_return,2.049402661093405
linear,long_short,unscaled,cumulative_return,15.192114755502732
linear,long_short,scaled,annualised_return,0.24980700641153186
linear,long_short,unscaled,annualised_return,0.7452623288075026
linear,long_short,scaled,annualised_vol,0.10912007680316232
linear,long_short,unscaled,annualised_vol,0.31865545981077475
linear,long_short,scaled,sharpe_ratio,2.20666356442715
linear,long_short,unscaled,sharpe_ratio,2.1277635095163836
linear,long_short,scaled,max_drawdown,0.003712916670992884
linear,long_short,unscaled,max_drawdown,0.008423882801972803
linear,long_short,scaled,n_rebalances,10.0
linear,long_short,unscaled,n_rebalances,10.0
linear,country_composite_long_only,scaled,cumulative_return,0.9994379304371035
linear,country_composite_long_only,unscaled,cumulative_return,1.5541152370840097
linear,country_composite_long_only,scaled,annualised_return,0.1486337828995956
linear,country_composite_long_only,unscaled,annualised_return,0.20627991741527096
linear,country_composite_long_only,scaled,annualised_vol,0.11744176177543304
linear,country_composite_long_only,unscaled,annualised_vol,0.10479454182219813
linear,country_composite_long_only,scaled,sharpe_ratio,1.2675702218627976
linear,country_composite_long_only,unscaled,sharpe_ratio,1.916937974538914
linear,country_composite_long_only,scaled,max_drawdown,0.008995737634021785
linear,country_composite_long_only,unscaled,max_drawdown,0.0029985792113406255
linear,country_composite_long_only,scaled,n_rebalances,10.0
linear,country_composite_long_only,unscaled,n_rebalances,10.0
linear,country_composite_long_short,scaled,cumulative_return,0.971996445587084
linear,country_composite_long_short,unscaled,cumulative_return,2.641842269520058
linear,country_composite_long_short,scaled,annualised_return,0.14546342229040188
linear,country_composite_long_short,unscaled,annualised_return,0.29498347483230836
linear,country_composite_long_short,scaled,annualised_vol,0.08967821985054412
linear,country_composite_long_short,unscaled,annualised_vol,0.14926919922776372
linear,country_composite_long_short,scaled,sharpe_ratio,1.6046646047590043
linear,country_composite_long_short,unscaled,sharpe_ratio,1.9095130484318397
linear,country_composite_long_short,scaled,max_drawdown,0.03703700041358478
linear,country_composite_long_short,unscaled,max_drawdown,0.036937883392970605
linear,country_composite_long_short,scaled,n_rebalances,10.0
linear,country_composite_long_short,unscaled,n_rebalances,10.0
linear,long_only_monthly,scaled,cumulative_return,1.4059802304045537
linear,long_only_monthly,unscaled,cumulative_return,4.5484956582019125
linear,long_only_monthly,scaled,annualised_return,0.1919510235174049
linear,long_only_monthly,unscaled,annualised_return,0.4087536364340245
linear,long_only_monthly,scaled,annualised_vol,0.11319912884435102
linear,long_only_monthly,unscaled,annualised_vol,0.1929209172204705
linear,long_only_monthly,scaled,sharpe_ratio,1.6212869616480616
linear,long_only_monthly,unscaled,sharpe_ratio,1.90364547990365
linear,long_only_monthly,scaled,max_drawdown,0.17248479961826943
linear,long_only_monthly,unscaled,max_drawdown,0.267037218469468
linear,long_only_monthly,scaled,n_rebalances,60.0
linear,long_only_monthly,unscaled,n_rebalances,60.0
linear,long_short_monthly,scaled,cumulative_return,2.7913545169536524
linear,long_short_monthly,unscaled,cumulative_return,41.91555217519555
linear,long_short_monthly,scaled,annualised_return,0.3054459016697806
linear,long_short_monthly,unscaled,annualised_return,1.1209134241981924
linear,long_short_monthly,scaled,annualised_vol,0.10901027700595062
linear,long_short_monthly,unscaled,annualised_vol,0.3262851794985324
linear,long_short_monthly,scaled,sharpe_ratio,2.5250231837516894
linear,long_short_monthly,unscaled,sharpe_ratio,2.530475144363439
linear,long_short_monthly,scaled,max_drawdown,0.07747014805955381
linear,long_short_monthly,unscaled,max_drawdown,0.22783246746806748
linear,long_short_monthly,scaled,n_rebalances,60.0
linear,long_short_monthly,unscaled,n_rebalances,60.0
linear,country_composite_long_only_monthly,scaled,cumulative_return,1.4163295449009046
linear,country_composite_long_only_monthly,unscaled,cumulative_return,2.080373906739165
linear,country_composite_long_only_monthly,scaled,annualised_return,0.1929746982240823
linear,country_composite_long_only_monthly,unscaled,annualised_return,0.2523354869203789
linear,country_composite_long_only_monthly,scaled,annualised_vol,0.07866647235735179
linear,country_composite_long_only_monthly,unscaled,annualised_vol,0.10091759457538702
linear,country_composite_long_only_monthly,scaled,sharpe_ratio,2.2976611219205765
linear,country_composite_long_only_monthly,unscaled,sharpe_ratio,2.2994294789342886
linear,country_composite_long_only_monthly,scaled,max_drawdown,0.03649907311988438
linear,country_composite_long_only_monthly,unscaled,max_drawdown,0.05409341701516817
linear,country_composite_long_only_monthly,scaled,n_rebalances,60.0
linear,country_composite_long_only_monthly,unscaled,n_rebalances,60.0
linear,country_composite_long_short_monthly,scaled,cumulative_return,2.0586505933560275
linear,country_composite_long_short_monthly,unscaled,cumulative_return,3.75412558103832
linear,country_composite_long_short_monthly,scaled,annualised_return,0.25056414715862774
linear,country_composite_long_short_monthly,unscaled,annualised_return,0.36588498182738105
linear,country_composite_long_short_monthly,scaled,annualised_vol,0.10250654193849122
linear,country_composite_long_short_monthly,unscaled,annualised_vol,0.13806316433980967
linear,country_composite_long_short_monthly,scaled,sharpe_ratio,2.250746394330644
linear,country_composite_long_short_monthly,unscaled,sharpe_ratio,2.3537968597089267
linear,country_composite_long_short_monthly,scaled,max_drawdown,0.0486019178017398
linear,country_composite_long_short_monthly,unscaled,max_drawdown,0.060907343996777955
linear,country_composite_long_short_monthly,scaled,n_rebalances,60.0
linear,country_composite_long_short_monthly,unscaled,n_rebalances,60.0
per_feature,long_only,scaled,cumulative_return,0.9993966707800717
per_feature,long_only,unscaled,cumulative_return,4.263723505416939
per_feature,long_only,scaled,annualised_return,0.14862904230461038
per_feature,long_only,unscaled,annualised_return,0.39398664704533304
per_feature,long_only,scaled,annualised_vol,0.07534379708357353
per_feature,long_only,unscaled,annualised_vol,0.2352913769214185
per_feature,long_only,scaled,sharpe_ratio,1.935405156529719
per_feature,long_only,unscaled,sharpe_ratio,1.6187271027878585
