variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
linear,country_composite_long_only_monthly,unscaled,2021,51.0322,9.2362,5.5252,0.7078,57.5909,11
linear,country_composite_long_only_monthly,unscaled,2022,2.3484,13.0174,0.1804,8.8112,1.5859,12
linear,country_composite_long_only_monthly,unscaled,2023,16.1828,10.5747,1.5303,2.3929,16.8592,12
linear,country_composite_long_only_monthly,unscaled,2024,20.9686,10.469,2.0029,3.9029,22.5174,12
linear,country_composite_long_only_monthly,unscaled,2025,8.1261,5.7074,1.4238,1.8229,8.2765,12
linear,country_composite_long_only_monthly,unscaled,2026,53.2096,0.0,,0.0,4.4341,1
linear,country_composite_long_short_monthly,scaled,2021,33.2998,12.2177,2.7255,4.2407,34.3393,11
linear,country_composite_long_short_monthly,scaled,2022,29.4797,9.4011,3.1358,2.0048,33.2966,12
linear,country_composite_long_short_monthly,scaled,2023,12.6125,7.4378,1.6957,2.5082,13.0877,12
linear,country_composite_long_short_monthly,scaled,2024,27.353,13.0127,2.102,1.5241,30.1129,12
linear,country_composite_long_short_monthly,scaled,2025,-5.0503,10.5447,-0.4789,10.9508,-5.4244,12
linear,country_composite_long_short_monthly,scaled,2026,-43.0719,0.0,,0.0,-3.5893,1
linear,country_composite_long_short_monthly,unscaled,2021,40.7191,14.6839,2.773,4.8882,43.14,11
linear,country_composite_long_short_monthly,unscaled,2022,37.1167,11.8722,3.1264,2.6697,43.2642,12
linear,country_composite_long_short_monthly,unscaled,2023,15.6991,9.2637,1.6947,3.1262,16.4346,12
linear,country_composite_long_short_monthly,unscaled,2024,35.7706,16.7023,2.1417,2.0548,40.6021,12
linear,country_composite_long_short_monthly,unscaled,2025,-6.5446,13.9169,-0.4703,14.5019,-7.1947,12
linear,country_composite_long_short_monthly,unscaled,2026,-60.5152,0.0,,0.0,-5.0429,1
