variant,construction,scaling,cumulative_return,annualised_return,annualised_vol,sharpe_ratio,max_drawdown,n_rebalances
fourier,country_composite_long_only,scaled,1.0634258711830529,0.15589337420318627,0.21301315321647699,0.7789073796099751,0.0008056590835277883,10.0
fourier,country_composite_long_only,unscaled,2.462033253341275,0.28193571430027076,0.22111994907066718,1.2758228856674554,0.0019743286466777916,10.0
fourier,country_composite_long_only_monthly,scaled,1.1442001226787677,0.16480456307864988,0.07522605679231699,2.077136154178105,0.043261230813849805,60.0
fourier,country_composite_long_only_monthly,unscaled,2.167761003842124,0.25936170097839395,0.11326654600051132,2.1103347221040267,0.08664786814522012,60.0
fourier,country_composite_long_short,scaled,3.9056286331834853,0.3744816102473161,0.24984495239535898,1.4625011563633357,0.0020389337228188726,10.0
fourier,country_composite_long_short,unscaled,3.6214440615658594,0.35817439958525266,0.2004780481118671,1.7199228292883848,0.004853138515597959,10.0
fourier,country_composite_long_short_monthly,scaled,2.1318771832487475,0.25649552029147116,0.09050095364942956,2.5898340308233414,0.02211957899225758,60.0
fourier,country_composite_long_short_monthly,unscaled,2.929594916288927,0.3148298546593169,0.08494578602771485,3.2997541468512375,0.018196320908602116,60.0
fourier,long_only,scaled,3.2444064223518048,0.3352524779493202,0.22896806545641465,1.4415494522957466,0.0011025038279655235,10.0
fourier,long_only,unscaled,35.23637684572568,1.0503544894883485,0.686904196369244,1.4415494522957466,0.0033075114838968297,10.0
fourier,long_only_monthly,scaled,4.266511160543148,0.39413426616260905,0.1878218218494256,1.869874694907783,0.012969405964469747,60.0
fourier,long_only_monthly,unscaled,60.20569575913863,1.2769755532298022,0.42546437724922964,2.152206823289912,0.0385762834597069,60.0
fourier,long_short,scaled,9.25270319424649,0.5928235826118144,0.45418844762203525,1.285125637249217,0.002245546102454789,10.0
fourier,long_short,unscaled,96.69130118961023,1.5001794363310381,0.7149580906060102,1.8061507456583694,0.0067366383073644035,10.0
fourier,long_short_monthly,scaled,6.283964753948032,0.48755683275862816,0.15475874507892565,2.677598718668872,0.029320063349287117,60.0
fourier,long_short_monthly,unscaled,237.7638731292588,1.9894667200705034,0.45673250883400157,2.682656487718605,0.07968738482934007,60.0
linear,country_composite_long_only,scaled,1.5116078441400602,0.20223776537457905,0.15646302020016198,1.2913218449269692,0.002625316682539477,10.0
linear,country_composite_long_only,unscaled,3.6896271043744058,0.3621585547445869,0.1504681462918939,2.279098173300344,0.0028910311031077945,10.0
linear,country_composite_long_only_monthly,scaled,1.7522730784915352,0.22444224346063724,0.07395213382940653,2.7966695307886864,0.02397911497257836,60.0
linear,country_composite_long_only_monthly,unscaled,3.1348127281017613,0.32828469600347265,0.10215513408975924,2.8609774555936798,0.04518320800488461,60.0
linear,country_composite_long_short,scaled,3.690452750539034,0.3622065151374909,0.16378358007685015,2.102237613583919,0.006802157028789239,10.0
linear,country_composite_long_short,unscaled,5.322791502787929,0.4460448803248984,0.14816465988329044,2.7917315145172275,0.006780149411704605,10.0
linear,country_composite_long_short_monthly,scaled,1.85488039022716,0.23343873664840964,0.08759158842946693,2.458132547169439,0.039608447747540056,60.0
linear,country_composite_long_short_monthly,unscaled,4.117179484627386,0.3861369162615955,0.12250780202625335,2.7601167670242384,0.04747019799366862,60.0
linear,long_only,scaled,2.3356555126978966,0.2724368520675815,0.15716510832956695,1.6892186712029578,0.00112962689973816,10.0
linear,long_only,unscaled,21.1858214795793,0.8587248396797915,0.472911122990024,1.6781684006193411,0.0032892936130941492,10.0
linear,long_only_monthly,scaled,2.721814704337364,0.30062156173876375,0.08642399678834595,3.115190980261567,0.013579767342249345,60.0
linear,long_only_monthly,unscaled,28.376762259911022,0.9660781908952598,0.23791771494447156,3.0254786144502965,0.038886985006627385,60.0
linear,long_short,scaled,7.770186117669418,0.5438381263328114,0.5365070058881309,1.043013016873381,0.0025523749412362075,10.0
linear,long_short,unscaled,65.37856754774506,1.3142249699743322,0.5968523047669383,1.9134004061089778,0.007657124823709051,10.0
linear,long_short_monthly,scaled,4.02450897945728,0.3810796477441174,0.12261323831521725,2.727323748887723,0.0554524481575566,60.0
linear,long_short_monthly,unscaled,92.26149641284582,1.4770825272455914,0.36783971494565176,2.727323748887723,0.16215178183642606,60.0
per_feature,country_composite_long_only,scaled,1.1343057527560503,0.16372757973457963,0.11615849186795381,1.4016211719021312,0.0028435265588435178,10.0
per_feature,country_composite_long_only,unscaled,2.663998316245303,0.2965553247253787,0.13121818046464254,2.164723657246438,0.0026788592006421826,10.0
per_feature,country_composite_long_only_monthly,scaled,1.4575476559983525,0.1970171967130454,0.07260728935740914,2.530293636639253,0.041883996907871146,60.0
per_feature,country_composite_long_only_monthly,unscaled,2.6642757408493933,0.2965749582198913,0.10527587122620218,2.544303552326838,0.06240517346935934,60.0
per_feature,country_composite_long_short,scaled,1.9449152247593466,0.2411222443757428,0.1023755739081237,2.2696767888635616,0.005262370154038447,10.0
per_feature,country_composite_long_short,unscaled,3.7985070326968815,0.3684257163286171,0.15013520508067416,2.320583751765405,0.0065028118234842615,10.0
per_feature,country_composite_long_short_monthly,scaled,1.5801698045272459,0.20873099220496316,0.08843233612049124,2.203329907897498,0.042664408710545366,60.0
per_feature,country_composite_long_short_monthly,unscaled,3.8177915183777333,0.3695238523093196,0.13089643902038825,2.4967746579298473,0.059166985799768285,60.0
per_feature,long_only,scaled,1.4194663639334948,0.19328427553936045,0.16324849703456548,1.1929388825888696,0.0016091399527478633,10.0
per_feature,long_only,unscaled,8.459432195489015,0.5673753548540836,0.4933698448991254,1.1634177834524522,0.0031018171075640455,10.0
per_feature,long_only_monthly,scaled,1.8696447718419664,0.23471188312504565,0.10275074474854473,2.1176322235829255,0.03161363677270151,60.0
per_feature,long_only_monthly,unscaled,17.19361144739095,0.7864208671917008,0.3018768377337152,2.095230037157087,0.0930684265030199,60.0
per_feature,long_short,scaled,3.7184688803011836,0.3638299361975943,0.3379831689907126,1.0967428849086132,0.0026819041766704193,10.0
per_feature,long_short,unscaled,24.296020718644,0.9081409050437736,0.49580359165485693,1.6850491023920757,0.007438142788665356,10.0
per_feature,long_short_monthly,scaled,3.5116068991602507,0.35165622981033273,0.10894267151349334,2.8521951028817143,0.03183670695100309,60.0
per_feature,long_short_monthly,unscaled,70.11114657905037,1.346321586677588,0.3264935991946999,2.8494856667308066,0.0955101208530093,60.0
periodic,country_composite_long_only,scaled,1.9191763094350365,0.23894510792601054,0.2332766478132227,1.0484217532141233,0.0011918890489136162,10.0
periodic,country_composite_long_only,unscaled,5.09108200361454,0.4352874560686957,0.23579087499082704,1.7637816357329297,0.002670493353037484,10.0
periodic,country_composite_long_only_monthly,scaled,1.986264995694576,0.24458817024792467,0.07847623959096274,2.851338726614357,0.03346022259132988,60.0
periodic,country_composite_long_only_monthly,unscaled,3.972510136179398,0.3782091707073827,0.11472020450080476,2.889038337871535,0.06898575948989166,60.0
periodic,country_composite_long_short,scaled,7.771326564149543,0.5438782753823328,0.32185561462115,1.6135573165247286,0.00364069428070507,10.0
periodic,country_composite_long_short,unscaled,8.077841249646568,0.554520725953092,0.18604738214454208,2.7210090140311514,0.00603700666710432,10.0
periodic,country_composite_long_short_monthly,scaled,3.459597542211684,0.3485254078132771,0.08595905453592602,3.5629034826887223,0.01617332964539035,60.0
periodic,country_composite_long_short_monthly,unscaled,5.751998682093923,0.4651647777460639,0.0963573308462263,4.073701805296594,0.021853773936105252,60.0
periodic,long_only,scaled,6.509814392818668,0.49666926648940324,0.2682015210260869,1.7577788444479148,0.0010168388019350058,10.0
periodic,long_only,unscaled,116.20921815684575,1.5929393216486916,0.7228206783924241,1.872417537677259,0.0030505164058051695,10.0
periodic,long_only_monthly,scaled,4.740281845923355,0.41836054982744586,0.1448901541451594,2.511082532213289,0.014323436461509046,60.0
periodic,long_only_monthly,unscaled,93.54387540390391,1.483857520049336,0.34176565433629286,2.899543486826622,0.042924990628784826,60.0
periodic,long_short,scaled,15.820141260288988,0.7585953794773861,0.5710078715609794,1.2857183820957043,0.002243066833509029,10.0
periodic,long_short,unscaled,285.79573095835605,2.1010911849684324,0.7500682411332804,2.215712632702581,0.0067292005005269275,10.0
periodic,long_short_monthly,scaled,6.560538822188943,0.49868565213951044,0.1274567150075176,3.2868382938056877,0.020996790206493355,60.0
periodic,long_short_monthly,unscaled,299.5595302978051,2.130301005130408,0.3823701450225528,3.2868382938056873,0.06295658172716417,60.0
ple,country_composite_long_only,scaled,2.7003145420983006,0.29911539243001317,0.46643905867331814,0.7260477351497094,0.002296885080233559,10.0
ple,country_composite_long_only,unscaled,3.673551406782151,0.36122339568703965,0.16070848933095871,2.1345759722371707,0.0030806565465715382,10.0
ple,country_composite_long_only_monthly,scaled,1.538594639599506,0.20481030014296064,0.07573523707904553,2.5156576846552503,0.03603722371379663,60.0
ple,country_composite_long_only_monthly,unscaled,2.8640838159865316,0.3104163636015014,0.10783563184965467,2.5871580603977464,0.04850715628087294,60.0
ple,country_composite_long_short,scaled,6.565250063280219,0.4988723824863579,0.2577828859888058,1.825525188192258,0.005028294449462931,10.0
ple,country_composite_long_short,unscaled,5.409614232380234,0.44999457840305657,0.1554766927416606,2.6850665810317205,0.00695901953235318,10.0
ple,country_composite_long_short_monthly,scaled,1.9457719290673494,0.24119444686628677,0.08653744514130236,2.560570965108759,0.025747253117724873,60.0
ple,country_composite_long_short_monthly,unscaled,4.456542109450621,0.40405300138928224,0.12512054430594602,2.810248095864503,0.03783529300677502,60.0
ple,long_only,scaled,2.041669059412658,0.24917243428829994,0.11533828965199039,2.0855524775825094,0.0020882943709751877,10.0
ple,long_only,unscaled,13.858936809336244,0.7155269586071482,0.349966586896527,1.8795945438104393,0.003024551224526511,10.0
ple,long_only_monthly,scaled,2.3910935940421436,0.27663855244262936,0.09432704559676625,2.6587774199012433,0.011363934521177078,60.0
ple,long_only_monthly,unscaled,23.98777198646906,0.9034676790219691,0.24766310894416246,2.7736487980246083,0.034091803563531,60.0
ple,long_short,scaled,9.057431783056671,0.5867094895528411,0.7283737229811987,0.8735392109407356,0.0028751708024622354,10.0
ple,long_short,unscaled,51.52404781177869,1.2083689771190995,0.43834353768418977,2.3509698569575024,0.00711249207964649,10.0
ple,long_short_monthly,scaled,4.839548577560861,0.4232325087191793,0.10613295344251372,3.4250380782447487,0.029646813839768055,60.0
ple,long_short_monthly,unscaled,149.23106415108825,1.7249086573250403,0.31839886032754117,3.4250380782447483,0.08894044151930412,60.0
