variant,strategy,scaling,year,ann_ret,ann_vol,sharpe,max_dd,cum_return,n_obs
ple,country_composite_long_only_monthly,unscaled,2025,17.9752,8.0623,2.2295,2.4591,19.1876,12
ple,country_composite_long_only_monthly,unscaled,2026,63.8551,0.0,,0.0,5.3213,1
ple,country_composite_long_short_monthly,scaled,2021,34.7003,8.2533,4.2044,1.7198,36.462,11
ple,country_composite_long_short_monthly,scaled,2022,38.4483,11.555,3.3274,2.7334,45.1655,12
ple,country_composite_long_short_monthly,scaled,2023,8.5719,13.6714,0.627,10.9438,7.971,12
ple,country_composite_long_short_monthly,scaled,2024,24.0689,12.9782,1.8546,2.4222,25.9973,12
ple,country_composite_long_short_monthly,scaled,2025,5.2562,10.2192,0.5143,9.5573,4.8863,12
ple,country_composite_long_short_monthly,scaled,2026,-0.4484,0.0,,0.0,-0.0374,1
ple,country_composite_long_short_monthly,unscaled,2021,40.6894,9.5928,4.2417,1.9703,43.7904,11
ple,country_composite_long_short_monthly,unscaled,2022,43.8427,13.0917,3.3489,3.2056,52.6957,12
ple,country_composite_long_short_monthly,unscaled,2023,10.1185,15.4134,0.6565,12.1476,9.3808,12
ple,country_composite_long_short_monthly,unscaled,2024,31.0638,15.8689,1.9575,3.5255,34.434,12
ple,country_composite_long_short_monthly,unscaled,2025,8.0095,15.4618,0.518,14.2114,7.146,12
ple,country_composite_long_short_monthly,unscaled,2026,-0.6902,0.0,,0.0,-0.0575,1
