variant,strategy,scaling,eom,return,cumulative_wealth,drawdown,rolling_sharpe_12m,rolling_return_12m
ple,long_only,scaled,2021-08-31,0.02799,1.28425,0.0,,
ple,long_only,scaled,2021-09-30,0.025744,1.317311,0.0,,
ple,long_only,scaled,2021-10-31,0.011836,1.332903,0.0,,
ple,long_only,scaled,2021-11-30,0.027966,1.37018,0.0,,
ple,long_only,scaled,2021-12-31,0.036457,1.420132,0.0,7.7489,35.6864
ple,long_only,scaled,2022-01-31,0.033648,1.467917,0.0,8.2402,37.038
ple,long_only,scaled,2022-02-28,0.034041,1.517887,0.0,8.5212,37.9571
ple,long_only,scaled,2022-03-31,-0.002852,1.513557,-0.002852,6.3021,35.3375
ple,long_only,scaled,2022-04-30,0.013003,1.533238,0.0,5.7127,33.0105
ple,long_only,scaled,2022-05-31,-0.011364,1.515814,-0.011364,4.1624,27.1677
ple,long_only,scaled,2022-06-30,0.005778,1.524572,-0.005652,4.0864,21.8255
ple,long_only,scaled,2022-07-31,0.010752,1.540965,0.0,3.9518,21.3
ple,long_only,scaled,2022-08-31,0.011319,1.558408,0.0,3.7032,19.6329
ple,long_only,scaled,2022-09-30,0.03215,1.60851,0.0,3.712,20.2735
ple,long_only,scaled,2022-10-31,0.122381,1.805361,0.0,2.6493,31.3279
ple,long_only,scaled,2022-11-30,0.018572,1.838889,0.0,2.5653,30.3884
ple,long_only,scaled,2022-12-31,0.005345,1.848718,0.0,2.2854,27.2773
ple,long_only,scaled,2023-01-31,0.017411,1.880906,0.0,2.1587,25.6536
ple,long_only,scaled,2023-02-28,0.02578,1.929396,0.0,2.1011,24.8274
ple,long_only,scaled,2023-03-31,-0.005995,1.917829,-0.005995,2.0619,24.5132
ple,long_only,scaled,2023-04-30,0.005382,1.928152,-0.000645,1.9851,23.7511
ple,long_only,scaled,2023-05-31,0.013248,1.953696,0.0,2.2774,26.2123
ple,long_only,scaled,2023-06-30,0.001991,1.957585,0.0,2.2321,25.8336
ple,long_only,scaled,2023-07-31,-0.001358,1.954927,-0.001358,2.094,24.6226
ple,long_only,scaled,2023-08-31,0.004788,1.964287,0.0,2.0258,23.9694
ple,long_only,scaled,2023-09-30,0.007154,1.978339,0.0,1.8171,21.4698
ple,long_only,scaled,2023-10-31,0.04045,2.058362,0.0,2.9725,13.2767
ple,long_only,scaled,2023-11-30,0.039071,2.138783,0.0,2.9221,15.3266
ple,long_only,scaled,2023-12-31,0.01398,2.168683,0.0,3.1241,16.1901
ple,long_only,scaled,2024-01-31,0.01603,2.203447,0.0,3.1032,16.052
ple,long_only,scaled,2024-02-29,0.011579,2.228961,0.0,2.9304,14.6319
ple,long_only,scaled,2024-03-31,0.008604,2.248139,0.0,3.4892,16.0918
ple,long_only,scaled,2024-04-30,0.036393,2.329956,0.0,3.8041,19.1929
ple,long_only,scaled,2024-05-31,-4.5e-05,2.32985,-4.5e-05,3.3748,17.8636
ple,long_only,scaled,2024-06-30,0.011437,2.356497,0.0,3.6708,18.8082
ple,long_only,scaled,2024-07-31,0.020109,2.403884,0.0,4.3805,20.9549
ple,long_only,scaled,2024-08-31,0.009281,2.426196,0.0,4.5797,21.4042
ple,long_only,scaled,2024-09-30,0.018058,2.470007,0.0,4.9693,22.4946
ple,long_only,scaled,2024-10-31,-0.006617,2.453664,-0.006617,3.9427,17.788
ple,long_only,scaled,2024-11-30,0.016373,2.493837,0.0,4.2236,15.5182
ple,long_only,scaled,2024-12-31,0.016817,2.535777,0.0,4.2779,15.802
ple,long_only,scaled,2025-01-31,0.005532,2.549804,0.0,3.9299,14.7521
ple,long_only,scaled,2025-02-28,-0.010788,2.522296,-0.010788,2.8383,12.5154
ple,long_only,scaled,2025-03-31,0.01922,2.570775,0.0,3.0248,13.577
ple,long_only,scaled,2025-04-30,0.017963,2.616954,0.0,3.1984,11.734
ple,long_only,scaled,2025-05-31,0.024493,2.681051,0.0,3.7623,14.1879
ple,long_only,scaled,2025-06-30,0.007909,2.702255,0.0,3.649,13.835
ple,long_only,scaled,2025-07-31,0.162781,3.142132,0.0,1.7967,28.1022
ple,long_only,scaled,2025-08-31,0.011566,3.178474,0.0,1.8137,28.3307
ple,long_only,scaled,2025-09-30,0.007079,3.200975,0.0,1.7345,27.2329
ple,long_only,scaled,2025-10-31,0.001777,3.206662,0.0,1.8051,28.0722
ple,long_only,scaled,2025-11-30,0.015093,3.255059,0.0,1.7961,27.9442
ple,long_only,scaled,2025-12-31,0.041792,3.391094,0.0,1.9457,30.4416
ple,long_short,unscaled,2021-01-31,0.04603,1.04603,0.0,,
ple,long_short,unscaled,2021-02-28,0.069509,1.118739,0.0,,
ple,long_short,unscaled,2021-03-31,0.055637,1.180982,0.0,,
ple,long_short,unscaled,2021-04-30,0.181047,1.394796,0.0,,
ple,long_short,unscaled,2021-05-31,0.169383,1.631051,0.0,,
ple,long_short,unscaled,2021-06-30,0.230445,2.006918,0.0,,
ple,long_short,unscaled,2021-07-31,0.128295,2.264394,0.0,,
ple,long_short,unscaled,2021-08-31,0.160206,2.627164,0.0,,
ple,long_short,unscaled,2021-09-30,0.166195,3.063785,0.0,,
ple,long_short,unscaled,2021-10-31,0.193722,3.657306,0.0,,
ple,long_short,unscaled,2021-11-30,0.055464,3.860156,0.0,,
ple,long_short,unscaled,2021-12-31,0.232364,4.757117,0.0,7.1274,168.8297
ple,long_short,unscaled,2022-01-31,0.161874,5.52717,0.0,8.4483,180.414
ple,long_short,unscaled,2022-02-28,0.151963,6.367096,0.0,9.6959,188.6594
ple,long_short,unscaled,2022-03-31,-0.009975,6.303587,-0.009975,7.647,182.0983
ple,long_short,unscaled,2022-04-30,-0.028264,6.125422,-0.037957,5.4598,161.1671
ple,long_short,unscaled,2022-05-31,0.118998,6.854334,0.0,5.3295,156.1286
ple,long_short,unscaled,2022-06-30,0.058994,7.258696,0.0,4.9866,138.9835
ple,long_short,unscaled,2022-07-31,0.060261,7.69611,0.0,4.6599,132.1801
ple,long_short,unscaled,2022-08-31,0.291495,9.939485,0.0,4.3413,145.309
ple,long_short,unscaled,2022-09-30,0.145191,11.382605,0.0,4.3099,143.2086
ple,long_short,unscaled,2022-10-31,0.271634,14.47451,0.0,4.2022,150.9998
ple,long_short,unscaled,2022-11-30,0.170501,16.942429,0.0,4.6019,162.5035
ple,long_short,unscaled,2022-12-31,-0.08894,15.435562,-0.08894,3.2596,130.3731
ple,long_short,unscaled,2023-01-31,0.147342,17.709863,0.0,3.2383,128.9198
ple,long_short,unscaled,2023-02-28,0.140114,20.191264,0.0,3.2188,127.7349
