variant,trial_number,epoch,train_loss,val_loss,corr_3m,corr_6m,corr_12m,base_corr_3m,base_corr_6m,base_corr_12m
periodic,1,1,0.19620991350402908,0.14527510267992813,0.011011226521804928,0.09614952959236689,0.11204577656656814,-0.006486013432731852,0.08972646439797245,0.12627413061757883
periodic,1,2,0.1779273778554939,0.14375027660280465,0.06758640441888322,0.12359579490342489,0.1477645928040147,0.06414649055950576,0.1285571774984419,0.15875334970963498
periodic,1,3,0.17490841760226186,0.13253788029154143,0.09222435562987812,0.12875487198398333,0.16424975752209622,0.09069302113105854,0.13701538842481872,0.1711356862448156
periodic,1,4,0.1676851658978396,0.16110466197133064,0.0959257452438275,0.1297742366499733,0.168004457904802,0.09772533893895646,0.139109355234541,0.17612350444930294
periodic,1,5,0.1690213516768482,0.15105147920548917,0.0975945068988949,0.1286813320009969,0.16713234888302395,0.100106316494445,0.14194388117757625,0.17910393058943253
periodic,1,6,0.16974525818867342,0.13127896543592216,0.10077104112133384,0.1267954685734973,0.16650999343643585,0.10463443696498871,0.1441815466930469,0.1805313020789375
periodic,1,7,0.1650982361198181,0.13291892210642497,0.10295421622746896,0.10851653286566337,0.15136753351738055,0.10679236593423411,0.14575359512430927,0.18229418608825654
periodic,1,8,0.16343757634361586,0.13373282141983509,0.1006275440508034,0.12041755944179992,0.14748137683297197,0.10529114908228318,0.1466651960508898,0.18605414199798057
periodic,1,9,0.1626814409262604,0.13616493226339418,0.10603695570801695,0.1377497844475632,0.1710505024374773,0.11002605091004322,0.14891335585173995,0.1876530794504409
periodic,1,10,0.16261456214955874,0.13452262406547863,0.06471912873385008,0.08927730457702031,0.11932336744697143,0.10651688668876887,0.14697643316273268,0.18753047194331884
periodic,1,11,0.16150905292422052,0.1322343997657299,0.04473509924816123,0.09242515925628443,0.07295803868328221,0.11423306237556971,0.15289017460114943,0.1916791148018092
periodic,1,12,0.16083153511678416,0.13941357011596361,0.10313403872617831,0.13946137248616045,0.1679600925029566,0.11056867977677029,0.14934900574735366,0.19124902452652653
