variant,trial_number,epoch,train_loss,val_loss,corr_3m,corr_6m,corr_12m,base_corr_3m,base_corr_6m,base_corr_12m
fourier,1,1,0.19325378318391148,0.13111560295025507,0.10763959142689904,0.12440948133298661,0.15334932507636648,0.0944415141052256,0.1223276587765819,0.15440609709670147
fourier,1,2,0.1807358947597326,0.13237134863932928,0.10862083536339924,0.12992711671589252,0.15728983573693162,0.10157308603714531,0.13291768685836966,0.15978924497418726
fourier,1,3,0.1776731065844023,0.13616554848849774,0.10819694448340063,0.1317834160445879,0.16187687674537302,-0.029018384724622592,0.1362484261315937,0.1644471946832103
fourier,1,4,0.17181707012452305,0.13256001410384974,0.10840957719677438,0.13504659157867233,0.16488698492757975,0.1062179092084989,0.13878450758444766,0.16753472642352182
fourier,1,5,0.16822431619382566,0.1297099108497302,0.10846998000051826,0.13856645366176962,0.16975393349615236,0.10804944592528046,0.14087000663081806,0.17158776419237257
fourier,1,6,0.16815890184056664,0.1333476033061743,0.10830901172594168,0.14035117033248146,0.1737592891207896,0.10536662093024157,0.14269245667383074,0.1753881173596407
fourier,1,7,0.16515543109308634,0.1315713056673606,0.10827828546947178,0.1422917463661482,0.17670757564871262,0.10844063290084402,0.14355723276385107,0.17768185054107258
fourier,1,8,0.16482701819271794,0.1329761493951082,0.10812946711666882,0.1433448382730906,0.17855310073743264,0.10829876634137084,0.14439427729181867,0.17927831748190026
fourier,1,9,0.1634069930998579,0.12973390283683936,0.10829592833373075,0.14415610702708365,0.17972835525870323,0.10853467818815261,0.14495929895395723,0.1801921224842469
fourier,1,10,0.16344129465638646,0.14141402579843998,0.10828957823105156,0.1449295714109515,0.18066033342232307,0.10848710441884274,0.14536161195331562,0.1808585134645303
fourier,1,11,0.16481025234633495,0.12897701921562355,0.10861919841263443,0.14507163816597313,0.18103235592134298,0.10880622798576951,0.1456749563959117,0.1811972328616927
fourier,1,12,0.16315123937018808,0.12942846454679965,0.1087212688541816,0.1453465640389671,0.18128033058407406,0.10893154056975618,0.14600389340581993,0.1813157274853438
fourier,1,13,0.16202819184769715,0.12966276469329993,0.10865505162122038,0.14578275171807037,0.1818408601762106,0.1088731751505596,0.14616091356923183,0.18168521222348014
fourier,1,14,0.16286070022495494,0.1296388095865647,0.10924349039172133,0.14634054258931428,0.18216126812621952,0.1094499426195398,0.1466870276723057,0.18198242870469888
fourier,1,15,0.16303995953843234,0.12999338234464328,0.1092117880548661,0.14618696300312878,0.18232807697107395,0.10951606970047578,0.14669391726298878,0.18197220953491827
fourier,1,16,0.16215188270582567,0.1295800231397152,0.10959786305902526,0.14686817459296436,0.18234650475593905,0.10976652668323368,0.1471027185053875,0.18196498802863062
fourier,1,17,0.16210492546596225,0.12914869027833145,0.10929877019952983,0.146634659372891,0.18248420162126422,0.10950662466105616,0.14691546432829153,0.18186061054002495
fourier,1,18,0.16156450035198341,0.12951023429632186,0.10968544444379708,0.146922393484662,0.18301843086568018,0.10986110311932862,0.14730332496886453,0.1822408623721761
