variant,trial_number,epoch,train_loss,val_loss,corr_3m,corr_6m,corr_12m,base_corr_3m,base_corr_6m,base_corr_12m
per_feature,1,1,0.19312837181819809,0.13824189243217308,-0.05357413514284417,0.0661686334045953,0.15300605241500306,0.02364526815751257,0.13704205665295982,0.18084081166695493
per_feature,1,2,0.172878680410721,0.13624696359038352,-0.04533514779274507,-0.0013435674171584347,0.038301213489224516,0.0631304262574607,0.1307752365168805,0.17726544635370373
per_feature,1,3,0.16982989091544398,0.13144508500893912,0.04910676134750247,0.09104862293461338,0.11766409262393912,0.1048147697855408,0.14880487351717117,0.18935214926799138
per_feature,1,4,0.16406723624834466,0.13743806158502897,0.043298266871715896,0.11008239020302427,0.1350587880568734,0.08553969052154571,0.1444067741278559,0.18880643864783148
per_feature,1,5,0.16308747314744526,0.13124936148524285,0.09299402976369796,0.1260392763186246,0.13891960837257405,0.10058834850788116,0.14408913075458257,0.17628594604708875
per_feature,1,6,0.16094733894403493,0.1305741623044014,0.08356866890292926,0.11839967668165627,0.15074249701962497,0.11314213992251704,0.1467755917382116,0.18692226324540873
per_feature,1,7,0.16001757003721737,0.1518993994841973,0.09241925037155549,0.12110129729941642,0.1827902766924429,0.10924753998406231,0.15227068110010197,0.19728004639425004
per_feature,1,8,0.1576621456012603,0.13457164528469245,0.053121348517015575,0.050608016271144154,0.053975159853386384,0.10885000231986244,0.13125332230702041,0.17178751413011922
per_feature,1,9,0.15548004007469568,0.13275037159522374,0.07029133564016471,0.068410205951659,0.11383566338481614,0.09803085719856124,0.1543082524750692,0.19463236550800503
per_feature,1,10,0.15269658399657124,0.1351270295679569,0.022718267949918904,0.08748109975131228,0.13986938222854708,0.04204640870836253,0.1401208571740426,0.193579405779019
per_feature,1,11,0.15280288051340787,0.13666598486403625,0.091409958259707,0.1158190273757403,0.13923597774587507,0.11157767082719754,0.15561599344170343,0.19446214895854913
per_feature,1,12,0.14617968018033675,0.13472133080164592,0.045698499945380416,0.07376999114640057,0.11971169432314734,0.10450624894971648,0.15176443945189627,0.19248758936300875
per_feature,1,13,0.14639522861098014,0.13266308916111788,0.08227587731865545,0.08445319241145625,0.11565112448758251,0.12104677558721354,0.1531392197861957,0.18962190236585835
per_feature,2,1,0.181195968924652,0.17069050632417201,0.00582035641806821,0.10566564459780542,0.09939225455746055,0.06966317276819609,0.125247572845304,0.14950323287242404
per_feature,2,2,0.1734388225697099,0.13502502956738074,0.03752883978498479,0.1418268453979787,0.13383180361864408,0.1071706751283879,0.1445841384663557,0.16534389378502964
