variant,trial_number,epoch,train_loss,val_loss,corr_3m,corr_6m,corr_12m,base_corr_3m,base_corr_6m,base_corr_12m
ple,1,1,0.19585464001884537,0.15025170339892308,0.07498732912839236,0.143483552763549,0.1734943738207221,0.05045591109665111,0.152216555205329,0.1786248986997331
ple,1,2,0.17842969316102208,0.16421870378156503,0.08279493936958413,0.13112891580288608,0.17498588219750671,0.08078187807016851,0.15579188480041922,0.19079770234723886
ple,1,3,0.17389689379977802,0.14378559701144694,0.07841924505773931,0.10868818607802193,0.16291958039898116,0.07906858911252736,0.16061591032193973,0.19645717127714307
ple,1,4,0.16826074351630513,0.13081869712720315,0.09240688686113571,0.08141283534932882,0.14699004396485785,0.09611408213240794,0.1547721637102465,0.19572835202949743
ple,1,5,0.16330371879869038,0.13057777062058448,0.06981004987222453,0.09501645256532357,0.12875965238490608,0.10078591201260376,0.1572300134343095,0.19591531042630475
ple,1,6,0.15677703785458727,0.1292336298773686,0.1034037350715759,0.11971033451457819,0.1457341700355755,0.09880865012528375,0.1471339059372743,0.19706090671776716
ple,1,7,0.1524450337543847,0.13257086550196012,0.10481209012068575,0.12550398125313222,0.14909335607662796,0.11767714653882043,0.16794278275920077,0.20990150209205846
ple,1,8,0.15298307993050134,0.1381748697410027,0.06269107871533681,0.06819107387564145,0.07114755887693415,0.11533478933464116,0.16473691454351258,0.20520485588155377
ple,1,9,0.1397684621698563,0.13944905251264572,0.04017051888513379,0.06181545192375779,0.06811492827255279,0.10991459756576205,0.16027373841352527,0.2056972878286615
ple,2,1,0.15186939858609722,0.1109260498235623,0.06108777094244336,0.05145298753244181,0.09457600551346938,0.0812631536158733,0.12994423133010666,0.13634994621388613
ple,2,2,0.1390513682530986,0.10714104523261388,0.08555173631757498,0.06846623052842915,0.13434903004672377,0.1023495755235975,0.14214640281861649,0.1656598222752412
ple,2,3,0.13559571000200416,0.10768769600739082,0.06884302445687354,0.060889456716055675,0.12967104032286442,0.10293012342687385,0.14787308704108,0.17341491635888814
ple,2,4,0.1343660761291782,0.10941309208671252,0.06707988915344079,0.06128663107131918,0.12407267631206195,0.10166837511545358,0.14812161743854327,0.1763695070752874
ple,2,5,0.1354456278125918,0.10671045432488123,0.06573343120204905,0.08859842169137361,0.14867756579769775,0.10997098174896867,0.15805880996728472,0.18892379346458862
ple,2,6,0.1329581132454295,0.10918476755420367,0.06883333046086287,0.0889945613530775,0.1314042523658524,0.10142755239891509,0.1560165883352359,0.18985451069505263
ple,2,7,0.12998963924982246,0.10766787541409334,0.0777663294255035,0.09296709586245318,0.15820341260308243,0.1108813024223006,0.1568501120666042,0.190816744735154
ple,2,8,0.12887235979239145,0.15192142613232135,0.0764561032410711,0.07624683876832326,0.1469878734749121,0.10238232623475294,0.15260505869130914,0.18539199396812667
ple,2,9,0.1282825359542455,0.10592070904870828,0.10303746881739546,0.10611796772573143,0.1858666273280202,0.11828520175768062,0.16286320646953148,0.19506783021473287
ple,2,10,0.12693665652639335,0.10696076403061548,0.0699238198576495,0.09022730232488053,0.15741733788745477,0.11162287100887625,0.15646913041055086,0.19244849166522424
ple,2,11,0.12569024629654393,0.10706976304451625,0.09065136075175056,0.11464726276074846,0.17345598562775802,0.11723338910766566,0.15831561874753486,0.18894060902918378
ple,2,12,0.1227960376039384,0.10912013811369738,0.09236329017439857,0.11896515828557312,0.1672484159314384,0.11214838789310307,0.15994276958905781,0.19970321060779195
