variant,country,n_months,b1_base,t_b1_base,p_b1_base,b1_full,t_b1_full,p_b1_full,b2_full,t_b2_full,p_b2_full,r2_base,r2_full,corr_base_path2,entropy_ratio,t_entropy,p_entropy,missingness_excess,t_missingness,p_missingness,rc_base,t_rc_base,p_rc_base,rc_path2,t_rc_path2,p_rc_path2,rc_combined,t_rc_combined,p_rc_combined
fourier,ARE,114,0.033516228787122224,5.574200559784219,1.7138712760100816e-07,0.026209715946587397,3.601451747190838,0.0004715807769968272,0.011082625978268716,1.3253382349584324,0.18773242004131285,0.04251447844385896,0.06537576693425262,0.5776064075342313,,,,,,,0.19781930187835806,8.706117230801642,2.9753977059954195e-14,0.19827939261720395,8.938729932483087,8.659739592076221e-15,0.2117049790751873,9.543536382335917,4.440892098500626e-16
fourier,BRA,114,0.04088201729674435,6.636552900531955,1.1615850503687852e-09,0.02562458539216974,3.804819299976842,0.00023079924983626654,0.03893142795780127,4.485046835740752,1.7605536215326012e-05,0.02482809196572209,0.05781001490079203,0.371602171054795,,,,,,,0.10900668329138369,6.667244110780412,9.999476802136087e-10,0.1838028490275215,6.796537121274082,5.303411043655615e-10,0.1887708422172851,7.19013154721801,7.484945996338865e-11
fourier,CHL,114,0.03062510380562032,7.039414132848249,1.5916046258723782e-10,0.03302498259453976,5.393091950024355,3.8471551166985307e-07,-0.008138270502370025,-0.9601521398905846,0.3390286216259495,0.024915083353857267,0.04617616287562668,0.49805325258589195,,,,,,,0.12495572919126598,8.035187809876135,9.956480084838404e-13,0.09696504397028947,4.403815095394764,2.4278527266607952e-05,0.11507784929059246,5.6312235679737634,1.3248764241247102e-07
fourier,CHN,114,0.006016526499641808,1.140890913543546,0.256327488048705,-0.0026049784820349102,-0.588406270896786,0.5574338841994781,0.017601006667476687,3.444789698096751,0.00080288720634214,0.012538112427840574,0.02529634338071444,0.5252359045914787,,,,,,,0.037214963858637276,1.7764466173181905,0.07835047854656563,0.11650907740032394,4.618363972706521,1.0308424286176177e-05,0.10963125604846825,4.3147130611919255,3.439368493984851e-05
fourier,COL,114,0.02863195296455664,5.716856494823057,8.978401888626308e-08,0.024483391934298087,3.4020395522811957,0.0009257373360989085,0.0071796615116869085,0.8069282495197889,0.42140297645745406,0.03233803168229131,0.0737050980168898,0.4505681947303719,,,,,,,0.12824507292109372,6.137450393767032,1.2749021838232011e-08,0.118826945575256,3.0191098030179906,0.0031343015434250887,0.1446878604130984,4.576538449985889,1.220586712147309e-05
fourier,EGY,114,0.04856713421358308,7.689614474249488,5.922817791770285e-12,0.05014388418999497,6.650438760348388,1.0854852572350637e-09,-0.00567961067259854,-0.47443270522996256,0.6361069213956496,0.03095317071490915,0.053368891238582426,0.5623661781758389,,,,,,,0.180864255042607,9.626212899570522,2.220446049250313e-16,0.13516643221676833,4.140257878567288,6.712991333523988e-05,0.15933271320719583,5.309426068043434,5.56265910667264e-07
fourier,GRC,114,0.04789850201115924,5.004939416704671,2.0720178575128756e-06,0.04701862464353979,4.696962519484685,7.485377675475746e-06,0.0018518042245138768,0.2189112594439965,0.8271140777754196,0.029795152007005672,0.05074644104542629,0.2690004360005631,,,,,,,0.11661528746053025,5.124492557096208,1.242780840904345e-06,0.12164740034760235,5.342492456394661,4.810071561056617e-07,0.1332871489934337,6.192895320716882,9.809504986080242e-09
fourier,HUN,72,0.04580346663651406,3.6783219449386686,0.0004532746385157438,0.03473781888970315,2.089198930001226,0.040274788872860956,0.025152344074397686,1.120236721267996,0.2663880170211699,0.05057549365881833,0.14026601826474316,0.4109468234416121,,,,,,,0.17339597642303925,6.530561868944631,8.421696229277131e-09,0.27625867992617814,6.413376002605489,1.37143749689983e-08,0.2877897165486982,7.271649238196588,3.7196401514449917e-10
fourier,IDN,114,0.055368861496440276,8.218095695790971,3.843592111252292e-13,0.05275232380023591,4.819119246977165,4.5231894183483945e-06,0.0029621466075257633,0.22836101526105088,0.8197783300019865,0.021986054045799126,0.037632487465104676,0.5170062751626003,,,,,,,0.16378283752861625,10.046028188431514,0.0,0.16745034225747507,7.150599041973077,9.127676392495232e-11,0.17947503577719545,8.502272213613685,8.681944052568724e-14
fourier,IND,114,0.04894389383833105,6.053419324020758,1.8928002054607873e-08,0.04366115449091574,4.784487802166002,5.221601741656201e-06,0.018266326434769203,3.016905378603162,0.0031554489280964937,0.017513138908739852,0.023832083211686624,0.3064620152716996,,,,,,,0.06602289526744382,3.596308527948558,0.00048001438776679173,0.11484652245466972,9.67846458003693,2.220446049250313e-16,0.11780676917308935,11.201318184185116,0.0
