variant,window,n_months,b1_base,t_b1_base,p_b1_base,b1_full,t_b1_full,p_b1_full,b2_full,t_b2_full,p_b2_full,r2_base,r2_full,corr_base_path2,entropy_ratio,t_entropy,p_entropy,missingness_excess,t_missingness,p_missingness,rc_base,t_rc_base,p_rc_base,rc_path2,t_rc_path2,p_rc_path2,rc_combined,t_rc_combined,p_rc_combined
fourier,val,60,0.04186664046375962,4.254811905196564,7.58606860611355e-05,0.03777273081838976,3.403412698949671,0.0012014347989184326,0.009219127277861826,1.411076589805303,0.16347353558656263,0.01964167694638254,0.023457533760403167,0.4309375035660563,0.9975583393598468,-136.8776920838387,0.0,-0.0007361988402124254,-14.013005300194477,0.0,0.10085472983113694,3.5082058569945196,0.0008700281146403199,0.13768935771459764,6.395517903441822,2.827863387899754e-08,0.14222399384624368,6.142822364137733,7.483329511615011e-08
fourier,test,54,0.04363598717129933,4.669902973082197,2.09713140839618e-05,0.035222839488429365,4.431640943809854,4.729082961429931e-05,0.016611864986074074,2.184959770228519,0.033334358395831654,0.01972339422445977,0.025098605352120405,0.5123143062462161,0.9975986048936839,-69.11198073227024,0.0,-0.0005567241839474342,-6.388620121079319,4.334244962933553e-08,0.11111085781630355,4.168243713323106,0.00011398729571499011,0.13370432405363086,4.6427914681907945,2.302189864922255e-05,0.14073405433431788,4.720501478106078,1.761148629642051e-05
fourier,pooled,114,0.0427047520620679,6.045527171200793,1.9641199111575247e-08,0.03656488755682958,5.063117703053358,1.617080508165003e-06,0.012720950402804467,2.518556643741272,0.01318313570930707,0.01968038513073491,0.02423488346174291,0.4694844100987635,0.9975774125074538,-119.22554481072535,0.0,-0.0006511845293500613,-11.81360792914742,0.0,0.10571289571884743,5.292220388869701,5.998573857635137e-07,0.13580171019098178,7.656336756378128,7.0246031214082905e-12,0.14151823302480512,7.579605846433783,1.0401457473108167e-11
fourier,vol_high,57,0.055762678249088427,5.856274680755071,2.601247452993505e-07,0.052674638632298945,5.673362392603298,5.13454546879899e-07,0.005284697135525542,0.7330131320540036,0.46660781901598525,0.0255888532313773,0.029307515117201463,0.47591397493301557,0.9975688329522101,-69.38358241846697,0.0,-0.0006622381095129114,-8.447582825323813,1.4261924974334761e-11,0.1306264808225057,5.033395578733121,5.313966468856179e-06,0.12176573664920899,4.871652906717488,9.467755556880064e-06,0.13526044130387155,5.136383626996664,3.667526501827112e-06
fourier,vol_low,57,0.029646825875047376,4.870424915661679,9.509136271290686e-06,0.02045513648136021,3.259968620097139,0.0018980995888184804,0.020157203670083394,4.551572692197972,2.9118374281100756e-05,0.01377191703009252,0.01916225180628436,0.46305484526451157,0.9975859920626976,-154.7312396807005,0.0,-0.000640130949187211,-11.35170796106272,4.440892098500626e-16,0.08079931061518919,3.8768126158372547,0.00028027861964097234,0.1498376837327546,9.164143218644165,9.801048861390882e-13,0.14777602474573873,8.271539850111248,2.7690294501780954e-11
fourier,period_early,40,0.03744272954048826,3.689497447096265,0.0006843720527882624,0.028388607711966097,2.674273339598246,0.010884448088275711,0.020910799591411594,6.918082735471553,2.776996477216187e-08,0.01978121782857344,0.024054033907467087,0.4352213030400128,0.9975702187777387,-147.64870705118892,0.0,-0.0007898420308539544,-14.695552874754894,0.0,0.10486865841101642,3.1366411210105927,0.0032461044147111817,0.17215547664287323,9.381281775186626,1.5125900532098058e-11,0.17314090143827718,7.6312192531957725,2.9599125372925528e-09
fourier,period_mid,40,0.05688958793965175,4.6510385318047796,3.7415661788609e-05,0.05279821644993834,3.9207446986390844,0.0003468202816203636,0.007536694644493608,0.7554970240046464,0.45448972378143226,0.02353508014750602,0.028109375076224286,0.44623616851928877,0.9975179016021178,-62.6338732214026,0.0,-0.0007400429353332197,-8.938120389092658,5.563438598699122e-11,0.11551535195350966,3.8086532258494645,0.00048304421379352647,0.11956690745351048,5.027019304797629,1.1500149610599308e-05,0.12986126681733764,5.141399347331041,8.008711034790394e-06
fourier,period_late,34,0.032207324584415886,2.733981688133015,0.009982628289324946,0.027086006323599837,3.071050490593784,0.004250812433606033,0.009184958131867687,0.8710898533596573,0.3899982967809108,0.015026823113547099,0.019889422214442263,0.537144820261382,0.9976558885486905,-134.68965175706592,0.0,-0.0003835187558358827,-8.613267482395564,5.915323786354065e-10,0.09517381462845774,2.388557375340264,0.022791395137790715,0.11213234111519346,2.587271588964799,0.014268512059906868,0.11802917160597624,2.629866242933073,0.01287530500561429
linear,val,60,0.035186200691553864,3.222470624272084,0.002070840054509082,0.028556794510024353,1.6784683454093245,0.0985453541711252,0.008244479352364314,0.7593324269081447,0.4506769802803241,0.020581316292439776,0.02598159864731504,0.7534316294399949,0.7711235057722491,-130.18577289036858,0.0,-0.007346845724085327,-14.471372695714916,0.0,0.1261111013493501,3.2309277620151877,0.0020195617558322887,0.1424506530799789,5.69001080344956,4.2012855550055406e-07,0.14384466795747658,5.4754400524408595,9.414308559385631e-07
linear,test,54,0.03611837101983934,3.1226277571840386,0.002902507100585261,0.04574654682387536,3.5352052001570646,0.0008550248080272382,-0.012138421907174004,-1.1287440974859153,0.26408917445365776,0.019795302421399864,0.02463411495089082,0.8093164689697253,0.7669717819568203,-76.67588576910207,0.0,-0.003235039251511413,-5.248214239744064,2.7550902348405515e-06,0.13768137297753336,4.064158894273076,0.00016038679721397386,0.1116308200497345,3.5178834873290703,0.0009014581319533033,0.11535483925620167,3.592354850026135,0.0007174713289348489
linear,pooled,114,0.035627755057583824,4.424068734027618,2.2416657941226603e-05,0.03669930876395379,3.2350429745530733,0.0015954444034378401,-0.0014105791389959434,-0.17229571295508253,0.8635132587413397,0.020208993932473506,0.02534331689637725,0.7799033955330251,0.7691568997544144,-128.93559653636908,0.0,-0.005399147921287157,-8.80174198762869,1.7985612998927536e-14,0.1315917563311211,5.020296047823248,1.941082435896746e-06,0.12785178480249473,6.306798148922549,5.706602301813746e-09,0.1303494859410832,6.270957139767293,6.7703593842338705e-09
linear,vol_high,57,0.04189142447838058,3.527491067714804,0.0008456165671026916,0.05714051112678207,3.562921032988923,0.0007578425061152139,-0.020616475773177264,-2.117160191589015,0.0387013126794582,0.023596605941122516,0.029068654279040068,0.7797570797756219,0.7698342862809862,-80.81043733282405,0.0,-0.004596603384366216,-6.806829371337631,7.213868169486659e-09,0.1375395078240344,3.8493638447209437,0.00030625012678209274,0.10822450730350247,4.009287445021088,0.00018198809067349053,0.11199030967942408,4.030148992324799,0.0001699196369404632
linear,vol_low,57,0.02936408563678707,4.173730829728653,0.00010550406731502093,0.0162581064011255,1.6178009976163616,0.1113250118817537,0.01779531749518538,2.369817340515705,0.021267288334970047,0.016821381923824496,0.02161797951371443,0.7800497112904285,0.7684795132278426,-140.19564107073882,0.0,-0.006201692458208098,-8.44499498109369,1.4401591030832606e-11,0.12564400483820784,4.348165441182604,5.856348990040949e-05,0.14747906230148697,7.456239756953642,6.097007343441874e-10,0.14870866220274234,7.227790138286314,1.4544541127037292e-09
linear,period_early,40,0.041912582451896226,4.102049067879976,0.00020159305479272582,0.028993728903655806,1.9292156810750676,0.06100337618211471,0.01702673908308875,2.397861679237971,0.02137558468624401,0.024361598244038506,0.02807201622446156,0.7719590188376355,0.7683470958080176,-143.35456898506274,0.0,-0.007316057369287194,-16.409833148697043,0.0,0.16351964625275323,4.252446105057519,0.00012780768978393198,0.17936417105435395,7.507723363511076,4.348592375080784e-09,0.18165807702352244,7.160197940222259,1.292842277678119e-08
linear,period_mid,40,0.040831139876569,2.779577835331683,0.008333126303929683,0.05170231856339079,2.1095220757737714,0.04136973361403351,-0.015211079572084943,-1.0011500807046911,0.322925749311501,0.019411245224768295,0.025696017948497296,0.7453726806318096,0.7771903065311495,-155.9403594375729,0.0,-0.006096918056640133,-7.36504345281748,6.7936127834400395e-09,0.12121404282526357,2.6155209503805876,0.012604190548244132,0.10588469252509566,4.859751833090606,1.9477022203950867e-05,0.10834579830031191,4.614351700801166,4.19399701683254e-05
