n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,country
78,0.026000016524213663,0.008845449663744898,0.05750597742446271,-0.06678786665770753,0.05422403469497139,0.4717318051450441,0.5084409261624451,0.1295286991489523,-0.07237066730737617,-0.05780295653713374,,,fourier,2016-01-31,ARE
176,0.1695224541817738,0.08077916277956843,0.1888647360426397,-0.05940468918999759,0.08964696065863209,0.325601936894055,0.37556020250935507,0.24944062827328778,-0.0002961340291966124,0.05434885088255598,,,fourier,2016-01-31,BRA
126,0.017809993634083615,0.0026736545911763,0.04361605488923331,-0.06053775249717926,0.027951201820922145,0.42628046451403445,0.44631121109861277,0.11599267490477976,0.13399945106794386,0.14504708668495758,,,fourier,2016-01-31,CHL
2608,-0.00474301326731214,0.00033631556985491695,-0.01293241821599839,0.016178116323611186,0.0032465393109148977,0.5062026248833453,0.5025884780709472,-0.010131313354942866,0.06924563308139704,0.05591142700993216,,,fourier,2016-01-31,CHN
37,0.034022938461920546,0.01792770976228264,0.028998389225148066,0.025497305830653415,0.027605326575555256,0.19706196686586516,0.25699383594120434,0.049312470365101946,0.21076339497392127,0.16761498340445707,,,fourier,2016-01-31,COL
182,0.03706959922948061,0.021856077076484293,0.044556768574783745,-0.014740059367333597,0.024420164582454884,0.5079470278044618,0.5653682428431093,0.18412191920026355,0.10106088097212089,0.13585427343239134,,,fourier,2016-01-31,EGY
162,0.029230433473613843,0.004974895494691767,0.029937652394296077,-0.0028069840979193577,0.005017860119841511,0.25194974250336893,0.14317045391998712,0.013870375218492208,0.11317311648055453,0.10317820426063577,,,fourier,2016-01-31,GRC
434,0.11310404288417905,0.05517579488276014,0.11820685128315497,-0.00931497050226253,0.05543773123686058,0.5478072526084405,0.5422792068169149,0.21947747391915484,0.16823769469985855,0.19566477298857732,,,fourier,2016-01-31,IDN
3232,-0.0015238074779611443,1.410281583680284e-05,-0.013688458671460386,0.03721962665531476,0.007529091358677298,0.3268343152968101,0.35264971604932277,-0.05839589021604063,0.13176654545669014,0.08642750728566902,,,fourier,2016-01-31,IND
1337,3.1503781523366015e-05,6.635853311287576e-09,0.020393154210105412,-0.031508990440383064,0.0038660282637361654,0.6462171635456156,0.6685146247781009,0.048512796283951866,0.02292867365080284,0.028910091663632467,,,fourier,2016-01-31,KOR
