n_firms,b1_base,r2_base,b1_full,b2_full,r2_full,corr_base_path2,rank_corr_base_path2,rank_corr_base,rank_corr_path2,rank_corr_combined,entropy_ratio,missingness_excess,variant,eom,split,vol_regime,period
13909,0.005319064340609741,0.00020714172666180808,0.000753639446385464,0.009549324276221767,0.0007221800380443621,0.4780887905953697,0.5028882197534067,-0.038939398158347654,0.056161175664763904,0.03912995252860163,0.9975245456244854,-0.0005923587060946615,fourier,2016-01-31,val,high,early
13868,0.0064156444520436584,0.0002778838748328516,0.001928728693494021,0.009641581701876449,0.0007695601736393831,0.4653713360821342,0.4984416828471829,-0.04041011403937325,0.02846610032083391,0.017069122771645306,0.9975833439385797,-0.0007240121990051124,fourier,2016-02-29,val,high,early
13962,0.04154039714116729,0.01422722928184672,0.03216322053307428,0.019203569842488652,0.016542739751829627,0.488303825018035,0.5143026199435943,0.08909708958394554,0.13150657373332628,0.13435933239887396,0.9975612701968504,-0.0008271189771824569,fourier,2016-03-31,val,low,early
13946,0.055912775283083124,0.024485276503566245,0.04383400413194949,0.02319356391946757,0.02755584291676727,0.5207811612336581,0.5431200346589914,0.11686499684134681,0.14392619546605961,0.15170816964396658,0.9974305795570357,-0.0008187289118847578,fourier,2016-04-30,val,low,early
14003,0.04163770313240674,0.014190655066870228,0.03171964034603306,0.020819125543524594,0.01693325141152391,0.4763919005932164,0.5026528190554914,0.07799290014511727,0.1113536392660668,0.11802332111521716,0.9974443972809488,-0.0008086046932486827,fourier,2016-05-31,val,low,early
14038,0.05212993425937875,0.023780734368394008,0.04057394324786717,0.024655089932185736,0.027931553582464574,0.46870609854964573,0.4961089627146071,0.13258228094686347,0.18319889095102296,0.1897328009432051,0.9974494320444419,-0.0008139738010239809,fourier,2016-06-30,val,low,early
14098,0.06540257632931172,0.03665144517567909,0.05547196852462322,0.022467744972879296,0.04013179339432249,0.4419939703192497,0.47726755361531437,0.17299350720357193,0.20163155187207749,0.21274827067514854,0.9974532047568123,-0.0009103237845283916,fourier,2016-07-31,val,low,early
14187,0.07316275769969376,0.047495463912444524,0.06517543510985291,0.018095891572391908,0.049834962496844826,0.4413887294739621,0.47022382034815957,0.21773353804580897,0.21288969960111304,0.2330758153385781,0.9974912327143454,-0.0009617059377935123,fourier,2016-08-31,val,low,early
14219,0.07553340073568908,0.04617463474129868,0.0635130638384816,0.02610969739366604,0.0505225780130556,0.4603782539477947,0.4927738373951375,0.22436410937852796,0.23304480684036435,0.25143622372267105,0.997507924366271,-0.0009457548957188747,fourier,2016-09-30,val,low,early
14225,0.07956018864950595,0.05175960500526133,0.07007141851708447,0.020872495319945207,0.05458580972196814,0.45460640843212496,0.4890488507955035,0.2501422828528134,0.25249574721890033,0.2720976699260396,0.9975897925484686,-0.0008908371197201148,fourier,2016-10-31,val,low,early
14265,0.09382951039420383,0.05993830784377019,0.07992848036381607,0.029178319813868824,0.06441895798300978,0.47641639817015996,0.49893564280119146,0.2736246948694532,0.28363345764630965,0.30286027760977696,0.997656919548045,-0.0008378919368971101,fourier,2016-11-30,val,high,early
14299,0.08122000623335675,0.044841184259208244,0.06901504518539683,0.026282477371399146,0.048524136469202506,0.46437635522270093,0.4836953721392988,0.2384501763271419,0.26825804438906925,0.2816738755217679,0.9976247276776102,-0.0008982060931870266,fourier,2016-12-31,val,high,early
14383,0.08403134238653374,0.04932976893921137,0.07388956634219984,0.02250891271960035,0.0521506708564905,0.45056712292892553,0.48113043656161014,0.242457599856158,0.2438144911602525,0.2637968045288106,0.9976243096548936,-0.0009741775669671338,fourier,2017-01-31,val,high,early
14424,0.06879307949042959,0.03594565080744305,0.06028445076015649,0.019996768684709263,0.03843298229232073,0.4255001827757741,0.4607164943232226,0.20844101482783453,0.21803775796248223,0.23738388003876212,0.9976396540389683,-0.0009593860197527334,fourier,2017-02-28,val,high,early
14550,0.0570559055417643,0.028352243448181214,0.049487600898826145,0.018296582833416845,0.030768966275093956,0.4136457999748141,0.45297370518684427,0.1737187820932925,0.1836636652055964,0.20018551188773295,0.9976254459150677,-0.0009865545350159666,fourier,2017-03-31,val,low,early
14634,0.04954338144764151,0.02059688565482254,0.0357458335010474,0.031799992186999165,0.02748504455301859,0.4338852621551232,0.4763187911173473,0.1298948186854431,0.20191339274688108,0.20667482871389534,0.9975723464491892,-0.0010489755970010174,fourier,2017-04-30,val,low,early
