variant,seed,epoch,train_loss,train_main,train_aux,val_loss,val_corr_6m,val_base_corr_6m,val_path2_corr_6m,best_epoch,stopped_epoch,gap_loss
fourier,0,1,1.0630348578450226,0.763156081764722,0.9979800927260566,0.7247833100457987,0.12843073199813565,0.0767904308081294,0.12843558793344226,10,25,-0.33825154779922395
fourier,0,2,0.7770490966264217,0.5155708759670349,0.9955735797919925,0.976974788804849,0.14742436222732067,0.09163108488622432,0.14743055975995958,10,25,0.19992569217842726
fourier,0,3,0.6424528871263776,0.3964717083573406,0.9980395388981652,0.8726776794840893,0.14222851991653443,0.1056314525543712,0.14224866931326688,10,25,0.23022479235771165
fourier,0,4,0.7323687663745313,0.47890250057951433,0.9898202998770608,0.7823919845124085,0.13217594843978683,0.11510254728297392,0.13215902470207463,10,25,0.050023218137877246
fourier,0,5,0.5931326219486812,0.3504272609197592,0.9838209667849163,4.13809566013515,0.12401069752086187,0.11406227755845369,0.12344675250351429,10,25,3.5449630381864687
fourier,0,6,0.8021059123473981,0.560423326479236,0.8310683560428314,0.911883482336998,0.11903474108936886,0.1004207362420857,0.11634499198407866,10,25,0.10977756998959987
fourier,0,7,0.5781768700847078,0.3845457084510541,0.6874336078938555,0.7170816296090682,0.10326017723030721,0.07863610369167873,0.09787518216216995,10,25,0.13890475952436043
fourier,0,8,0.5901429605733101,0.42931920197639467,0.6057652117042813,0.9739977932224672,0.10846353531451314,0.08854957387084142,0.10472576825413853,10,25,0.3838548326491571
fourier,0,9,0.548379057236681,0.3718008793705863,0.62619962317296,0.7586963519454002,0.12308138937223703,0.07672444646401952,0.12218330314790364,10,25,0.21031729470871918
fourier,0,10,0.6082414698875731,0.43507731769037555,0.5964014790942966,0.6261648730685313,0.12052636191559335,0.0820489071464787,0.11863630060106516,10,25,0.017923403180958197
fourier,0,11,0.49267889440820983,0.354800714886919,0.5312868274508334,0.6849538533948362,0.12252779623522655,0.07846827998291701,0.11973649466138643,10,25,0.19227495898662633
fourier,0,12,0.5958673240693604,0.43439390670925154,0.558766015296698,0.7809554105624557,0.11073478791828771,0.07584211427783885,0.10728178409238656,10,25,0.18508808649309527
