variant,seed,best_epoch,train_loss,val_loss,gap_at_best_epoch
fourier,0,10,0.6082414698875731,0.6261648730685313,0.017923403180958197
fourier,1,12,0.4679621671075149,0.8519120721922566,0.3839499050847417
fourier,2,20,0.19568241949656068,0.582165023436149,0.3864826039395883
fourier,3,18,0.20420113015672312,0.9341282020012538,0.7299270718445307
fourier,4,16,0.23098557495275543,0.9576378660276532,0.7266522910748978
linear,0,10,0.49779106866677353,0.9654100742035856,0.46761900553681207
linear,1,6,0.6989229289363952,0.8197228646526734,0.12079993571627823
linear,2,6,0.7810213046115158,1.9057366638444364,1.1247153592329207
linear,3,15,0.3125523604814791,1.6597708683771393,1.3472185078956602
linear,4,13,0.3813750677860327,1.0462487808118264,0.6648737130257937
per_feature,0,6,1.1379590505578865,0.8058737834294637,-0.3320852671284228
per_feature,1,7,0.9947694269644599,0.7832545325160026,-0.21151489444845728
per_feature,2,15,0.5987760836502448,0.8075178665419419,0.2087417828916971
per_feature,3,6,1.1624012968488155,0.8704435169696808,-0.29195777987913474
per_feature,4,7,0.9985811221302443,0.8188620845476786,-0.1797190375825657
periodic,0,14,0.9178022877978427,0.9555813162898024,0.03777902849195969
periodic,1,28,0.7381693966583245,1.1632251974816123,0.42505580082328787
periodic,2,6,0.8365159277168531,1.1387906695405643,0.30227474182371117
periodic,3,6,0.7877465714774434,1.0393834767242274,0.25163690524678395
periodic,4,17,0.9473689193301464,0.8416752580553293,-0.10569366127481716
ple,0,13,0.7488456875573666,0.7024903154621521,-0.04635537209521445
ple,1,12,0.9419181103640724,0.8278225983803471,-0.11409551198372525
ple,2,11,0.7913406541370528,0.9287645593285561,0.13742390519150327
ple,3,17,0.6920423689000363,0.8458014173433185,0.15375904844328214
ple,4,6,0.5249646787017969,0.9129211061323682,0.38795642743057135
