month,kor_ret,twn_ret,chn_ret,bra_ret,are_ret,col_ret,mex_ret,tur_ret,ind_ret,idn_ret,mys_ret,tha_ret,phl_ret,chl_ret,per_ret,zaf_ret,pol_ret,grc_ret,hun_ret,qat_ret,kwt_ret,cze_ret,sau_ret,egy_ret
1998-12,,,,,,,,,,,,,,,,,,,,,,,,
1999-01,0.033479665828753946,-0.029549588828012285,-0.18587349943411102,-0.2765867605552701,,-0.23349375353601975,-0.012724460656218906,-0.057981111012605946,0.119377488962781,-0.031393290266841456,0.015345158321272478,0.02385992243024604,-0.009852079621575971,-0.023440950466016575,-0.023663722374067997,0.05728414008863836,0.17176261103247392,0.1459205799120986,0.05442073848182116,,,-0.09022929702916382,,0.323621360067184
1999-02,-0.11282098645115557,0.04800436615333448,-0.042378963008992465,0.07224558283609017,,0.07176101606422458,0.09816229241278096,0.41792308652935795,-0.03325103088680681,-0.04155572162303933,0.10114520240092983,-0.09516946549160676,0.006758888534184937,0.04617388052898552,0.02872499108857207,-0.0049310297675513315,-0.19880350981485218,-0.012928705596958578,-0.14842372066869403,,,-0.20783318231667836,,-0.055709064671247366
1999-03,0.18035223863014416,0.09696269760019383,0.13610754957785964,0.37700590762162745,,0.045136461964844665,0.18561614505615953,0.12742137709523527,0.16826877837798682,0.025218031344122593,-0.0745210386462174,0.06076084084790834,0.052828958649380864,0.14047379234996793,0.0561714538945306,0.07702132084529167,0.08974560616905669,-0.03458122716506107,-0.055102522029921164,,,0.13705955967279393,,-0.0089954363735546
1999-04,0.26592636687520055,0.08725970231786073,0.25132705294133895,0.12080114375930262,,0.2772120181576758,0.11792995223496128,0.12311088931972614,-0.12426723285049113,0.3960458291163025,0.3909805934508295,0.433060073128688,0.23968377600395407,0.08006049235303103,0.13804694641951154,0.11869808743166965,0.12671615087500787,0.05437682025879176,0.05400640978572979,,,0.06166161064441322,,-0.0030398351029129467
1999-05,0.0021689701778895287,-0.03732506678993286,0.002418363808999402,-0.037666383970387685,,-0.028796597127671686,-0.025486954658510586,-0.08904568118372169,0.19090697905539944,0.21045521061543027,0.11573847278587901,-0.04203252681599956,-0.05184057685120591,-0.027831940680043576,-0.012841322396202504,-0.10707504949278934,0.008009071734352835,0.04439196107744392,0.0653853792562682,,,0.23282208646272773,,0.00042947923669367505
1999-06,0.29661180460988246,0.2246549225893475,0.47040432545456357,0.041361966993273436,,-0.2283703077371857,0.08571666916561504,-0.051736714650500115,0.03802506103288339,0.31180405091722485,0.10605408174343056,0.17460320052886136,0.0326187161451148,0.0573924491538802,0.010439780248705066,0.1508626022367885,0.12689180920058973,-0.005071531550032371,-0.03968185875852881,,,-0.015683794761213177,,0.07413061300378021
1999-07,0.04072346779072933,-0.1232378515629492,-0.12413251030327677,-0.09890416426440551,,-0.06597580422682714,-0.0961124294103628,0.12762434526338184,0.11085495845926019,-0.1364350510238438,-0.04576324179296887,-0.1272051426960501,-0.09673157818314793,-0.0020292353052956402,-0.010448918673819474,-0.03284882946492229,0.02590396649712945,0.08204773961634437,0.14213855779183926,,,0.11512427151747562,,-0.016454741520366745
1999-08,0.018986828838205794,0.12316265966460205,-0.007478448931613757,-0.03254557998255958,,-0.07106086767103725,-0.03272321546033574,-0.16956334294828934,0.09253472652109584,-0.1503246902444112,0.16721502391185816,-0.03114117318018972,-0.09368795819074327,-0.016740028621873848,-0.04233866511441675,-0.011070616737188121,-0.022892685227080545,0.15626074456904515,-0.018625671230494967,,,-0.04327048806007738,,-0.05769997773580304
1999-09,-0.14716945699554995,-0.06591267227232289,-0.0413874618065907,0.044729530362347836,,-0.0030964945718289227,-0.0132384464192431,0.15233239502655715,-0.00048214478152164286,-0.11590626258987569,-0.12948374350406333,-0.19652261585879316,-0.06730098068109369,-0.04288925738043259,0.060811369188587205,0.015430172879830284,-0.21428458331919154,0.06600179769862291,-0.11334758408286649,,,0.006250671948464515,,0.05789790638522607
