rebalance_index,eom,id,country,weight
0,2021-01-31,300185504,PHL,2.295467571646793e-07
0,2021-01-31,300216192,PHL,0.0
0,2021-01-31,300704096,MYS,0.0
0,2021-01-31,300854400,PHL,1.787407608167145e-08
0,2021-01-31,301561792,ZAF,1.2745374672970431e-09
0,2021-01-31,301563200,MYS,5.564224116820774e-45
0,2021-01-31,301568800,MYS,4.451379293456619e-44
0,2021-01-31,301574208,MYS,6.453629653410568e-12
0,2021-01-31,301578112,ZAF,1.8814603148100546e-10
0,2021-01-31,301592096,MYS,7.10190777514441e-07
0,2021-01-31,301618304,ZAF,0.0
0,2021-01-31,301630496,ZAF,1.425034079818716e-09
0,2021-01-31,301635616,ZAF,0.0
0,2021-01-31,301660992,ZAF,6.697606257951721e-12
0,2021-01-31,301728704,ZAF,1.790536424098463e-12
0,2021-01-31,301731488,ZAF,3.9211095849380405e-12
0,2021-01-31,301741696,MYS,0.0
0,2021-01-31,301794688,ZAF,0.0
0,2021-01-31,301875296,MYS,0.0
0,2021-01-31,301924608,MYS,0.0
0,2021-01-31,302144288,MYS,0.0
0,2021-01-31,302145504,MYS,0.0
0,2021-01-31,302145600,MYS,0.0
0,2021-01-31,302207200,BRA,0.0
0,2021-01-31,302282112,CHL,0.0
0,2021-01-31,302348288,MEX,8.701598013481965e-07
0,2021-01-31,302444608,ZAF,0.0
0,2021-01-31,302464992,MEX,6.595101472104477e-16
0,2021-01-31,302470112,MEX,1.5262207830936904e-07
0,2021-01-31,302494592,ZAF,2.0113830207075295e-10
0,2021-01-31,302505216,ZAF,4.413232074592286e-08
0,2021-01-31,302514304,MYS,0.0
0,2021-01-31,302523200,MYS,9.072117138971787e-23
0,2021-01-31,302524896,KOR,8.112301606729503e-08
0,2021-01-31,302525088,KOR,3.698902183947325e-35
0,2021-01-31,302525600,KOR,7.606542245481567e-08
0,2021-01-31,302525888,KOR,5.848315445087426e-29
0,2021-01-31,302536512,MEX,0.0
0,2021-01-31,302560704,THA,1.3940466653567349e-07
0,2021-01-31,302560800,THA,1.3285810437827903e-14
