id,country,rebalances_held,mean_weight_when_held,time_avg_weight
333309792,PER,10,0.042953234916664765,0.042953234916664765
329803008,PER,10,0.03496061898648178,0.03496061898648178
330363904,PER,10,0.03466546884048767,0.03466546884048767
333316512,PER,10,0.03382593293747828,0.03382593293747828
328286112,PER,10,0.033015962817843844,0.033015962817843844
321238816,PER,10,0.026475619700283764,0.026475619700283764
330360000,PER,10,0.02522531173678485,0.02522531173678485
325464416,PER,10,0.022045489954929852,0.022045489954929852
321386400,PER,10,0.020658937557415068,0.020658937557415068
329783296,PER,10,0.017835884817734685,0.017835884817734685
321224000,ZAF,8,0.02191109671364811,0.01752887737091849
332766112,EGY,10,0.016738143752186223,0.016738143752186223
329007616,PER,10,0.015097707933138532,0.015097707933138532
324527296,PER,10,0.014466131318962525,0.014466131318962525
328473408,PER,10,0.014219260195667946,0.014219260195667946
330361216,PER,10,0.012586862179326707,0.012586862179326707
328851904,ZAF,10,0.012515983582876589,0.012515983582876589
325626208,PER,10,0.012083696399929216,0.012083696399929216
324770496,PER,4,0.02993498313278619,0.011973993253114476
334138688,PER,8,0.0147389383416807,0.01179115067334456
320527008,PER,10,0.011759303348383463,0.011759303348383463
333674592,PER,10,0.011374531724245057,0.011374531724245057
324529504,PER,7,0.016122479282546866,0.011285735497782806
327142912,EGY,10,0.010877200765082754,0.010877200765082754
328149216,PER,10,0.010849180225419485,0.010849180225419485
328784704,EGY,10,0.01067827347289246,0.01067827347289246
328730112,ZAF,10,0.01032192907601138,0.01032192907601138
328897312,EGY,10,0.010012681052799148,0.010012681052799148
321345696,EGY,7,0.011385680448029244,0.00796997631362047
329393696,KOR,10,0.007867962209813206,0.007867962209813206
328535616,EGY,10,0.007713106304154683,0.007713106304154683
336066816,COL,10,0.007546433629217255,0.007546433629217255
328530112,PER,10,0.0071697514209253755,0.0071697514209253755
330359488,PER,10,0.006841469788080368,0.006841469788080368
320994912,ZAF,10,0.006613837852958227,0.006613837852958227
322212096,TUR,10,0.00630008467463154,0.00630008467463154
324020896,ZAF,10,0.006136467313109609,0.006136467313109609
329579200,PER,10,0.006063827976949695,0.006063827976949695
332204096,KOR,10,0.005985839954894222,0.005985839954894222
328213600,EGY,10,0.005951913209433017,0.005951913209433017
324374208,PER,10,0.005823070560462746,0.005823070560462746
321020800,PER,10,0.005781899217376146,0.005781899217376146
331820896,KOR,10,0.005725487901459743,0.005725487901459743
324921888,EGY,10,0.005725165815715407,0.005725165815715407
328638400,POL,10,0.005684187086877094,0.005684187086877094
320582592,ZAF,10,0.005461059324142063,0.005461059324142063
324368000,KOR,10,0.005396763161574308,0.005396763161574308
332661696,IND,10,0.005345771695060529,0.005345771695060529
328850592,PER,10,0.005182800368643599,0.005182800368643599
320698496,PHL,10,0.005017402569891345,0.005017402569891345
325712896,KOR,10,0.005000681388658135,0.005000681388658135
327303296,PER,2,0.025000006752455665,0.005000001350491133
328656000,IND,4,0.01250000216085641,0.005000000864342564
336054912,EGY,1,0.04999998792184093,0.004999998792184093
320394688,IDN,10,0.00494024324869703,0.00494024324869703
328780288,IND,10,0.004767938316202844,0.004767938316202844
310257216,ZAF,10,0.004666306931287997,0.004666306931287997
322887712,EGY,9,0.005030302442341459,0.004527272198107312
320889312,KOR,10,0.004397771167038935,0.004397771167038935
327301216,PER,10,0.0043903108044228145,0.0043903108044228145
324280096,KOR,10,0.004347825553056425,0.004347825553056425
320889088,KOR,10,0.004321003092449294,0.004321003092449294
320022400,IDN,10,0.003936632161226842,0.003936632161226842
329013504,IND,10,0.0038940377068778483,0.0038940377068778483
320884288,KOR,10,0.003499758448570188,0.003499758448570188
336055008,PER,10,0.0034122511161099765,0.0034122511161099765
324579808,KOR,10,0.0033357870254773804,0.0033357870254773804
321183616,KOR,10,0.003069849295744542,0.003069849295744542
322461696,EGY,10,0.0029999871095760773,0.0029999871095760773
320845312,PER,10,0.002943719081367429,0.002943719081367429
328715808,EGY,10,0.00293446671503179,0.00293446671503179
328429408,EGY,10,0.002869857934668156,0.002869857934668156
329499808,ZAF,6,0.0047293142033533846,0.0028375885220120307
321248192,MYS,10,0.0027699239129265613,0.0027699239129265613
321238912,PER,8,0.0033455971839435003,0.0026764777471548003
323711200,EGY,10,0.002641275170508558,0.002641275170508558
331234592,IND,10,0.0026070017445752438,0.0026070017445752438
324987904,ZAF,9,0.0028718968632989676,0.002584707176969071
328666208,KOR,10,0.002548528775515777,0.002548528775515777
327220416,KOR,10,0.002541121648018313,0.002541121648018313
328221088,IND,10,0.0023859270161203116,0.0023859270161203116
328554592,POL,10,0.0023545729443649518,0.0023545729443649518
322571712,EGY,10,0.0023526269772241376,0.0023526269772241376
331178592,EGY,8,0.002845167916154614,0.002276134332923691
331134304,KOR,10,0.0022263967153517777,0.0022263967153517777
331584704,KOR,9,0.0024489046881344323,0.002204014219320989
331822112,COL,10,0.0021891655529753646,0.0021891655529753646
324281216,KOR,10,0.0021659709376965933,0.0021659709376965933
322465600,EGY,7,0.0030328385378532545,0.0021229869764972783
324292800,KOR,10,0.002114547459639728,0.002114547459639728
317984896,EGY,10,0.00205086186819254,0.00205086186819254
325510112,POL,10,0.0020288260230732972,0.0020288260230732972
328967808,EGY,10,0.0019639041987982654,0.0019639041987982654
334722816,KOR,7,0.002714359768694908,0.0019000518380864356
329377504,POL,9,0.002067037969621299,0.0018603341726591692
332440608,POL,10,0.0018331801635872165,0.0018331801635872165
324278016,KOR,10,0.0018310962205270015,0.0018310962205270015
320789600,KOR,10,0.001820041503036457,0.001820041503036457
310223616,ZAF,8,0.0022372728642689266,0.0017898182914151412
324267712,KOR,10,0.001779944333259118,0.001779944333259118
325927104,MYS,10,0.0017742893855612646,0.0017742893855612646
320276896,IDN,10,0.0017271492254994137,0.0017271492254994137
321222688,KOR,10,0.0017178218311567326,0.0017178218311567326
327403488,EGY,10,0.0016365433650144,0.0016365433650144
328200000,POL,5,0.0032467380411947714,0.0016233690205973857
322313696,KOR,10,0.0016225308321032392,0.0016225308321032392
324023808,ZAF,10,0.0016197648910607845,0.0016197648910607845
329494816,IND,10,0.0016070666134152631,0.0016070666134152631
328245600,ZAF,10,0.0015962090492586168,0.0015962090492586168
325371808,MYS,10,0.0015446761857106073,0.0015446761857106073
328429216,PER,10,0.0015249534674184448,0.0015249534674184448
328650592,IND,10,0.0015200712433890147,0.0015200712433890147
320897408,KOR,10,0.0014454692398363665,0.0014454692398363665
328164608,KOR,10,0.001396299575824157,0.001396299575824157
327389696,EGY,10,0.0013930126133703156,0.0013930126133703156
320360608,KOR,10,0.0013912312468196207,0.0013912312468196207
323710688,EGY,10,0.0013657756454170029,0.0013657756454170029
325021088,MYS,10,0.0013447911486882888,0.0013447911486882888
328508096,ZAF,10,0.001337949299523161,0.001337949299523161
328173312,ZAF,3,0.004416224030864449,0.0013248672092593347
329032512,POL,9,0.0014687938747031581,0.0013219144872328424
329450400,IND,10,0.00132125662949662,0.00132125662949662
329491712,EGY,10,0.0013209416559419505,0.0013209416559419505
329687488,KOR,10,0.0013192997442868788,0.0013192997442868788
332432288,POL,9,0.0014658701152286116,0.0013192831037057505
328679296,KOR,10,0.0013169367963938648,0.0013169367963938648
325794016,KOR,10,0.0013142962153505347,0.0013142962153505347
306474592,CHL,10,0.001312103771719968,0.001312103771719968
329030592,PER,10,0.0012800031802294026,0.0012800031802294026
325863808,MYS,10,0.0012333602099364066,0.0012333602099364066
324137408,PER,10,0.0011931879717522762,0.0011931879717522762
328662592,IND,10,0.0011841390962184944,0.0011841390962184944
332417312,POL,10,0.0011667827914355199,0.0011667827914355199
320566496,KOR,10,0.0011572633210110844,0.0011572633210110844
322488000,EGY,10,0.001142752907370277,0.001142752907370277
332637888,EGY,10,0.0011367072625932861,0.0011367072625932861
335017888,CHL,4,0.0027676452062451733,0.0011070580824980693
327833600,IDN,10,0.001094073382668662,0.001094073382668662
331860608,PHL,10,0.0010912692111274321,0.0010912692111274321
322943616,ZAF,10,0.0010876335467153344,0.0010876335467153344
320897888,KOR,10,0.0010825908759622145,0.0010825908759622145
