id,country,rebalances_held,mean_weight_when_held,time_avg_weight
321020800,PER,10,0.04544226513716222,0.04544226513716222
333309792,PER,10,0.032815372738942694,0.032815372738942694
328215200,PER,10,0.03025209968726365,0.03025209968726365
321224000,ZAF,8,0.036474164788828686,0.02917933183106295
321238912,PER,8,0.032548972498266986,0.026039177998613588
321386400,PER,10,0.022444925896488017,0.022444925896488017
330363904,PER,10,0.02140137580402955,0.02140137580402955
330360000,PER,10,0.021310085491438095,0.021310085491438095
333426112,PER,10,0.01855139492664746,0.01855139492664746
333674592,PER,10,0.018174173183591293,0.018174173183591293
333316512,PER,10,0.01814474513701405,0.01814474513701405
325464416,PER,10,0.017771362914939793,0.017771362914939793
328850592,PER,10,0.01713201567823245,0.01713201567823245
320527008,PER,10,0.016706590609523793,0.016706590609523793
329803008,PER,10,0.01594292606665065,0.01594292606665065
324374208,PER,10,0.01521940079943009,0.01521940079943009
324527296,PER,10,0.014027108134950228,0.014027108134950228
328473408,PER,10,0.013810083095523793,0.013810083095523793
320845312,PER,10,0.013240594069875938,0.013240594069875938
320994912,ZAF,10,0.01309632118923631,0.01309632118923631
330359488,PER,10,0.012336633764098949,0.012336633764098949
328530112,PER,10,0.012302423858941688,0.012302423858941688
328851904,ZAF,10,0.011620299679318248,0.011620299679318248
324529504,PER,7,0.016035611696393358,0.011224928187475352
332571808,ZAF,10,0.010114217192576606,0.010114217192576606
329007616,PER,10,0.01010047243764503,0.01010047243764503
324770496,PER,4,0.02517939484780677,0.010071757939122707
320276896,IDN,10,0.01000810353441396,0.01000810353441396
329032512,POL,9,0.010817269822074557,0.009735542839867101
332766112,EGY,10,0.009709305216709168,0.009709305216709168
336055008,PER,10,0.009099054748404407,0.009099054748404407
328286112,PER,10,0.008943383922395687,0.008943383922395687
332527296,POL,9,0.0086475116798761,0.00778276051188849
321238816,PER,10,0.007603629143651268,0.007603629143651268
328730112,ZAF,10,0.0073825054831964014,0.0073825054831964014
