country,n_rebalances,sharpe,ann_vol_pct,add_contrib,cum_contrib_pct,add_share_pct
IND,10,2.0489991527124833,41.942428797819446,0.060999342643928645,79.7107857431207,44.75406462481433
CHN,10,0.49560889134291064,19.269570382759138,0.021931792891131036,22.609232388334256,16.09094186665659
KOR,10,1.4921607391212548,26.695643229592687,0.014286585886932369,15.128860311699155,10.481798005332609
SAU,10,2.4976049789304056,9.9265647240203,0.01353889124849931,14.364716923919673,9.933228582816204
IDN,10,1.115764362284788,32.01474015788111,0.0040261503595995975,4.086993686413765,2.95391041235547
BRA,10,2.030577943829935,16.594279090321955,0.0036570587346746023,3.714356332879931,2.6831148641018845
MYS,10,2.4503851574422093,18.004632856789744,0.003459470009226103,3.511888414200892,2.538147751267973
TWN,10,0.5641461929226061,17.927263357487174,0.0033670847764777404,3.374255092041456,2.470366452362283
THA,10,1.1650708406178656,20.03777210581633,0.0024417194043464168,2.464449832384452,1.7914433710485107
ARE,10,1.0929235583993635,12.169401976408842,0.0019350160598419586,1.9485216744092426,1.4196847054193629
TUR,10,1.4216157446789768,19.21333921279839,0.001508970099462101,1.517503924459751,1.107102837852647
POL,10,2.0185473171134296,20.320249035837186,0.001427644693670249,1.4364302909434912,1.0474359249205931
ZAF,10,0.5501229072127347,20.85412430610306,0.0008954818918596775,0.8970087646445135,0.6569981367270993
PHL,10,0.9321848339832257,18.744565522478883,0.0008275126311777474,0.8298814843401559,0.6071303749904453
MEX,10,0.7057583457214079,12.632581812063451,0.0006753773426780411,0.6765641332935113,0.4955115896377099
CHL,10,1.5975330599914532,7.129753513921883,0.0003488323402736544,0.3493363194750465,0.25593169406697214
PER,10,1.4649456940042718,13.836380305079283,0.0003306882922969192,0.331131350485947,0.24261974904411276
EGY,10,1.3564250948022019,23.218694075035092,0.0002513362011186638,0.2515880410602467,0.18440061974240918
GRC,10,1.1555919393106255,13.607586729284527,0.00021129086558424747,0.21144774086601092,0.1550201140394019
HUN,10,1.432301470421927,13.309163271172665,0.00010426776685856338,0.10431185221746464,0.07649928956632247
COL,10,0.6273316060232736,8.655358889129763,8.557870755006697e-05,0.08559640986920414,0.0627874800317211
QAT,10,0.14383855083782665,11.605176636179266,6.732945252736339e-05,0.06720765558643205,0.04939834658796778
KWT,10,-0.0641683146450897,20.492450939469585,-3.240826597370609e-05,-0.03265003786813159,-0.023777332130148366
CZE,4,-0.7513758903137232,9.806808291850086,-4.6013808168664716e-05,-0.01840546205891247,-0.03375946125247624
