country,avg_weight
PER,0.49568585280757843
EGY,0.12760174508086228
KOR,0.12613041437796324
ZAF,0.08526870468932032
IND,0.053076650160276
POL,0.03415645006150121
MYS,0.01823990240135935
IDN,0.015376910751442572
COL,0.0127424416956197
TUR,0.009887742147832496
PHL,0.00828940583118247
CHL,0.005976615305921905
THA,0.004234080271405635
TWN,0.0018114991587804808
GRC,0.0006788377469576827
CHN,0.00026097048894931443
ARE,0.0002165741737515298
BRA,0.00021147297425304243
MEX,0.00014120039523867189
KWT,1.1202046345314732e-05
HUN,1.25864068158747e-06
SAU,3.372665036118318e-08
QAT,2.669619901728787e-08
CZE,8.369927363653394e-09
