country,avg_weight
PER,0.4463120825698602
ZAF,0.11488757028566379
POL,0.08891171364354286
EGY,0.06218543417470888
MYS,0.061567403246321165
KOR,0.05742631014937084
IND,0.048012102726934756
IDN,0.03760625175766252
COL,0.01998609633666891
CHL,0.01970287982041274
PHL,0.016738501876148636
THA,0.01169995333148425
MEX,0.005065619287962503
TUR,0.003522231993187834
ARE,0.002251212247003209
TWN,0.001945615380084231
BRA,0.0009018023786314035
GRC,0.0007963110460633534
KWT,0.0002984290273960471
CHN,0.00010022822288539718
HUN,7.726484489303025e-05
SAU,4.57463790123695e-06
QAT,4.090325691367884e-07
CZE,1.9826430368894804e-09
