rebalance_index,eom,id,country,weight
0,2021-01-31,300185504,PHL,1.1444346953523375e-06
0,2021-01-31,300216192,PHL,2.662461243578429e-12
0,2021-01-31,300704096,MYS,2.3059420157604692e-14
0,2021-01-31,300854400,PHL,2.2663458180458923e-08
0,2021-01-31,301561792,ZAF,6.737043595285817e-07
0,2021-01-31,301563200,MYS,5.115680394905868e-11
0,2021-01-31,301568800,MYS,2.658189905550929e-11
0,2021-01-31,301574208,MYS,9.304532879622165e-09
0,2021-01-31,301578112,ZAF,1.873328211080132e-09
0,2021-01-31,301592096,MYS,6.486774634830312e-08
0,2021-01-31,301618304,ZAF,3.0285408501256414e-27
0,2021-01-31,301630496,ZAF,1.6569284591364176e-07
0,2021-01-31,301635616,ZAF,2.612508111280031e-20
0,2021-01-31,301660992,ZAF,5.6576303438154545e-11
0,2021-01-31,301728704,ZAF,5.375299612338094e-10
0,2021-01-31,301731488,ZAF,3.200395513140669e-11
0,2021-01-31,301741696,MYS,1.0410356287937314e-11
0,2021-01-31,301794688,ZAF,1.4903047945240343e-11
0,2021-01-31,301875296,MYS,1.1520665226124776e-11
0,2021-01-31,301924608,MYS,4.223883264839653e-12
0,2021-01-31,302144288,MYS,5.53868705975439e-18
0,2021-01-31,302145504,MYS,1.6348935145893087e-24
0,2021-01-31,302145600,MYS,1.0012375186906834e-16
0,2021-01-31,302207200,BRA,2.0752187859536244e-21
0,2021-01-31,302282112,CHL,5.935109516515345e-07
0,2021-01-31,302348288,MEX,4.5637132221097334e-07
0,2021-01-31,302444608,ZAF,9.055732174207834e-21
0,2021-01-31,302464992,MEX,8.110722501288701e-11
0,2021-01-31,302470112,MEX,9.093633669431861e-07
0,2021-01-31,302494592,ZAF,1.566342090683155e-08
0,2021-01-31,302505216,ZAF,4.162161953246422e-07
0,2021-01-31,302514304,MYS,6.618888349856103e-13
0,2021-01-31,302523200,MYS,3.3084931769727174e-07
0,2021-01-31,302524896,KOR,5.2685131271658716e-08
0,2021-01-31,302525088,KOR,3.804881045670869e-10
0,2021-01-31,302525600,KOR,2.9148037505951225e-08
0,2021-01-31,302525888,KOR,5.990051996430021e-10
0,2021-01-31,302536512,MEX,1.7278303397214962e-12
0,2021-01-31,302560704,THA,3.3773751910314194e-09
0,2021-01-31,302560800,THA,1.465447050923591e-10
0,2021-01-31,302560896,THA,4.4552681726050366e-10
