country,n_rebalances,sharpe,ann_vol_pct,add_contrib,cum_contrib_pct,add_share_pct
IND,10,1.2215716277879733,55.80652670170774,0.04969216015332288,60.178483839263144,36.22100341880044
CHN,10,0.35731450881624544,22.482097279752715,0.020150958990159507,20.076888387724946,14.688191300652644
KOR,10,1.424356342060512,36.436568271489925,0.017256225725296788,18.53877244562796,12.578197628419487
SAU,10,1.822724761304443,13.679351157914507,0.013573644030344756,14.380533021568453,9.893935085770694
TWN,10,0.940933058620185,24.181094178439285,0.007925174174718755,8.134780101836792,5.776721317635891
BRA,10,1.861617550937889,39.748974426069594,0.007766120689669247,8.026635207385734,5.660785990856478
IDN,10,1.3805076630643018,36.9189464125284,0.005738537054478896,5.874909337060097,4.182864452417933
MYS,10,1.8136473399331963,25.10234062604647,0.003554804288261789,3.6085355341310077,2.5911245935177316
ARE,10,1.027132373048025,20.61419965113059,0.0027874456981772117,2.8155247697930097,2.0317909274194834
TUR,10,1.9822301322304745,19.15242949427549,0.002237518063038913,2.2583269345155976,1.6309443815865345
THA,10,0.5031559499331492,42.71916309781757,0.0020751894508353854,2.0752392573039957,1.5126217890598355
PHL,10,1.0240174419303443,31.40076666012035,0.0014999756980010744,1.508153252916422,1.0933439946619317
MEX,10,0.8514590341048803,20.170701511391893,0.0013600863181811064,1.3661265256716737,0.9913775337739535
POL,10,0.5353364812440847,46.801043563107825,0.0009007838906550235,0.901801132923552,0.6565884091644627
CHL,10,1.1946358485075483,19.83916336124705,0.000681582847140179,0.6833894089461667,0.4968110575247215
PER,10,1.8499946345310228,15.714115584958375,0.00047328422571343295,0.4742321652702497,0.3449805664462395
KWT,10,0.37720728826585054,30.518429174632868,0.0003250113370003596,0.3249301448633668,0.23690330048676156
COL,10,0.9512081302893497,15.346015181414103,0.0002195175598591521,0.21968718301879075,0.16000806287374475
HUN,10,1.950693444988614,11.311158230228813,0.00012613041744985958,0.12619845243888594,0.09193744581781065
CZE,4,1.3519585914575376,9.0284663785656,8.217443993021424e-05,0.03287264898264031,0.05989759069572807
EGY,10,0.04495002847085594,88.42233279709977,8.150144330728565e-05,0.08125011137711802,0.05940703820405283
GRC,10,0.22082742358631136,39.18135906934252,7.687452396741494e-05,0.07656345313542534,0.056034440580788436
QAT,10,-0.0815589541921394,16.38573607631806,-3.104264892706929e-05,-0.031316847343221266,-0.022627229113138306
ZAF,10,-0.22244754367484643,96.99458299803632,-0.0013620969476033317,-1.3897483701155289,-0.9928430972542223
