variant,median_n_names,median_eff_n_holdings,median_max_weight,median_top5_weight
linear,18523.0,31.539297044709706,0.049999998419503346,0.24999997595905113
per_feature,18523.0,32.14749326881936,0.05000000140432359,0.25000000702161795
ple,18523.0,29.14199299125149,0.050000002725544036,0.2500000136277202
periodic,18523.0,33.73314149753318,0.05000000010077916,0.24999999733995015
fourier,18523.0,29.84030331705573,0.050000002888646915,0.2500000144432346
