month,mkt,value_spread,smallcap_spread,quality_spread,momentum_spread
1999-01,-0.014999340457299448,-0.02078293488935956,-0.022722963062252077,0.04517227784444855,0.058949473600419466
1999-02,0.009796844470179478,-0.0079529850185589,-0.03048962114974363,0.022221036910119674,-0.041611492615838186
1999-03,0.13260675317460202,0.030557560350388036,-0.010757012815031164,-0.026596724184766884,-0.044788728858930815
1999-04,0.12387438249614946,0.02052974890823389,0.005684390075930912,-0.06481405798216522,0.020212139051003053
1999-05,-0.005272812824647977,-0.010432254918350425,0.0031805516646765675,0.014845698995847645,0.016921322782677883
1999-06,0.11345386684341241,-0.0003759669702017021,-0.03568988286461372,-0.024537137584932145,0.03537926864952712
1999-07,-0.02762913573180381,-0.008990363956946634,0.014592716306470743,0.026601391186894086,0.048712738631544794
1999-08,0.009503579103250503,0.006746933342867578,-0.02371399933093299,0.013085976186044013,0.034966322845214615
1999-09,-0.034120643159374575,-0.002945605725318101,-0.009848765201875387,0.03575500097241058,-0.021851395469609125
1999-10,0.021217367057892345,-0.009586614486772893,-0.012711214363215761,-0.025846859285704293,-0.007003984176503719
1999-11,0.08978255299911875,-0.014786187992016808,-0.030258902854007674,-0.03292709340331279,0.038171243638760455
1999-12,0.12762500294959733,-0.04380331458742037,-0.023178626402439395,0.014520473562174674,0.006802758975742451
2000-01,0.005700052086587526,-0.011919133184707609,0.06288484360568636,0.0027845699814981195,0.017497318023082853
2000-02,0.013580677254438678,-0.053868393030812034,-0.024975475824804083,0.04414077071046352,0.03824397255166301
2000-03,0.005755444270477472,0.002343961254752003,-0.02971562665288241,-0.035347865587327054,-0.01573051177496254
2000-04,-0.09449889524430499,0.011932266606449304,0.01742877574624846,0.0230497598861803,-0.021332376187606528
2000-05,-0.04168827381299034,0.006516344503463056,-0.029677506470859094,0.010632621150750254,-0.0032457465650582717
2000-06,0.03379752548147685,-0.013250571447597004,-0.046943103361184124,-0.00661307142578238,-0.022807643425336588
2000-07,-0.05161082087138824,0.035229187393786554,0.023441233939131445,0.006796207102301555,-0.01515488290187017
2000-08,0.00432313539302398,-0.00951197843553031,-0.006963730958787884,0.025829354442535646,0.01851164686041873
2000-09,-0.08736232532151189,0.0014156264666865814,-0.008131875704358027,0.010926084701470384,-0.014304414422029343
2000-10,-0.07252830864202009,0.0014668234719104056,-0.02029520776585969,0.02775711074088183,0.006894957150454628
2000-11,-0.08750504121699998,0.010558628671259451,0.03155711015562079,-0.015967187668029847,-0.053836040850293476
2000-12,0.024123713209164066,0.007163593188215245,-0.037600026953890864,0.003953918249801847,0.02205778116372703
2001-01,0.13769952527581575,-5.966888019415251e-05,-0.03519035625914113,-0.013769068345867774,-0.048285438424263694
2001-02,-0.07830047290002873,0.030238574387898787,0.04492094460151108,-0.00817994692098678,0.025626177024513974
2001-03,-0.09822080700121938,0.010696991786455778,0.03140705331081728,-0.010340320061073105,-0.029017610880461286
2001-04,0.04941198664943669,-0.01387223158496731,-0.036853540791252914,0.025387125135988065,0.008813247970123061
2001-05,0.011937538996324104,0.012667208001966745,0.004920247202974792,-0.0036719306674675156,0.0170440280749653
2001-06,-0.02052760936620146,0.005949842503553571,0.002925240498539705,-0.011553151171690534,0.00028403162158485706
2001-07,-0.0631912178307108,-0.011913537439741884,0.003188735298081058,0.005981199639361612,-0.01641566358483837
2001-08,-0.00986203814226605,0.024604315505746266,0.02003370708076324,-0.001969539229837669,0.004227616281538227
2001-09,-0.15478003230020343,0.008657610102473567,0.024446357388207773,0.0031293362869476704,0.016491689923529673
2001-10,0.062058789565233585,-0.010229812643531178,-0.028353652660201734,0.020313536009510358,-0.01616512955590066
