country,n_rebalances,sharpe,ann_vol_pct,add_contrib,cum_contrib_pct,add_share_pct
IND,10,1.5929346994727858,41.40580218393087,0.04625041892564605,56.203893979114426,35.76389771522818
CHN,10,0.30411650998338124,27.528307359965115,0.01956710495098578,18.119805599215553,15.130585977506698
KOR,10,1.6157751581516704,31.76143145273907,0.01819436977754867,19.604714836137703,14.069095909452896
SAU,10,1.8928715327444736,11.251278946122971,0.011528384144676664,12.11012604692112,8.91451279684415
TWN,10,1.3239445677827026,14.211254602976734,0.006982491083883909,7.178406205180132,5.399326162277107
IDN,10,1.5457054281569413,32.32300523710864,0.005738684956693675,5.875915177953384,4.4375326014032295
BRA,10,1.557948855075067,33.224779330519645,0.0052900069725307485,5.409423007993119,4.090584964918583
MYS,10,2.245994403784184,18.76763738320174,0.003348781327479401,3.397362099851553,2.589500282347257
THA,10,0.855550471494371,35.55989887228513,0.0031253400963416654,3.1572547742969137,2.4167206725317985
ARE,10,0.736962130857482,22.058688047547058,0.0025896828099247335,2.6073231964352406,2.0025148589016624
PHL,10,1.6389204432015687,19.506617420599788,0.0015289089501559971,1.5386180610601707,1.182254011518928
TUR,10,1.2580286632643873,22.51230702875983,0.0015126884468393774,1.5209505610514373,1.169711240340191
CHL,10,1.3930637938597976,15.061829725233142,0.0006048100041613363,0.6063031444621059,0.4676792908783501
PER,10,2.4500942001526904,14.46186701829009,0.0005657965479236914,0.5671994526083912,0.43751149368188014
MEX,10,0.25391434553201986,21.60019649290526,0.0005394027649890598,0.5381122108868208,0.4171020665865359
POL,10,0.3099157556406254,59.614938455191414,0.00052275280600241,0.5189213610702348,0.40422721174211645
EGY,10,1.8566403307894697,22.87359215424776,0.00033579741102502465,0.33627605347175127,0.25966087529378346
ZAF,10,0.01795785837083019,49.93745008774451,0.0003339610879776555,0.32379605928987143,0.2582409082715645
KWT,10,0.37821720810853726,27.60073824032969,0.00027094760630763664,0.27084439055597986,0.20951469636957187
COL,10,1.168871630275959,7.557493114711901,0.00012969401377471614,0.12975789736970889,0.10028803091217736
HUN,10,1.726180093288386,11.864662870734426,0.00012279995234772877,0.12286305843396406,0.09495708443764588
QAT,10,0.11494087899790706,17.60704860016709,8.570485375079504e-05,0.08542372848256985,0.06627268886298437
CZE,4,1.5598420253061265,7.567407531370346,7.900844587277648e-05,0.03160629415737137,0.06109458124856652
GRC,10,0.29229556545121915,30.974622534816227,7.398986171676413e-05,0.07377609906260574,0.05721387844413492
