country,avg_weight
CZE,0.44966131026571415
PER,0.12170196798250761
COL,0.07696448761677968
KOR,0.06358801300866994
MYS,0.051624069050182485
IND,0.047788374280056604
CHL,0.03528836534925726
CHN,0.035006453320003704
THA,0.025877920450818694
IDN,0.021451278413356607
HUN,0.01959617107758397
ARE,0.011668857032647842
PHL,0.009745581250165617
MEX,0.007459360405153369
EGY,0.005718230894072861
ZAF,0.005658726812853788
POL,0.0043104640075916235
KWT,0.003113320614848176
GRC,0.0013868052220921887
TWN,0.001173332572928448
TUR,0.0005593028452412906
SAU,0.00045499509903281974
BRA,0.0001018011515460929
QAT,0.00010081127689512736
