country,avg_weight
PER,0.42833968504997044
IND,0.142276599238337
ZAF,0.14026069590367715
EGY,0.054471848924712775
CHL,0.04785315304506854
POL,0.044328731377248666
COL,0.04377239422186239
MYS,0.030393434545978214
MEX,0.02624900733878619
KOR,0.01231439124903523
IDN,0.010962254106364602
PHL,0.008585005992727076
TUR,0.0028536489777040964
BRA,0.002356147530971485
THA,0.0018876101501820314
ARE,0.0013883217389230155
GRC,0.0011872962394495678
TWN,0.0003471808367041883
HUN,0.00013560465919718848
CHN,2.1644125231114488e-05
KWT,1.3458341989437905e-05
SAU,8.098456940356084e-07
CZE,6.539020123930496e-07
QAT,4.2265817316175507e-07
