id,country,rebalances_held,mean_weight_when_held,time_avg_weight
331202592,CZE,10,0.04873890834148623,0.04873890834148623
321022400,CZE,10,0.04432032555389974,0.04432032555389974
320666592,CZE,10,0.041257402082606594,0.041257402082606594
320671616,CZE,10,0.03760362032371656,0.03760362032371656
333973216,CZE,10,0.031785867691274464,0.031785867691274464
320492288,CZE,7,0.04366770944919709,0.030567396614437962
325915904,CZE,10,0.02874330577567008,0.02874330577567008
332162016,CZE,10,0.02790967854848911,0.02790967854848911
334635808,CZE,9,0.027896412304649496,0.025106771074184547
332863488,CZE,5,0.0500000443015691,0.02500002215078455
320471904,CZE,10,0.024034257159128342,0.024034257159128342
332965504,CZE,3,0.05000007555177972,0.015000022665533916
336066816,COL,10,0.014074444278094511,0.014074444278094511
320003008,COL,10,0.01256069443676992,0.01256069443676992
322208992,COL,10,0.012141341954211342,0.012141341954211342
321386400,PER,10,0.010953771152017563,0.010953771152017563
335316896,CZE,3,0.03621523123988205,0.010864569371964616
321020800,PER,10,0.010327034980812482,0.010327034980812482
335794016,CZE,3,0.03416515753318619,0.010249547259955857
332863392,CZE,2,0.05000001019225514,0.010000002038451028
328999712,COL,10,0.009153224438533735,0.009153224438533735
333309792,PER,10,0.009141391212473964,0.009141391212473964
322216800,CHL,5,0.018277669214046742,0.009138834607023371
331825600,COL,10,0.008597764998215518,0.008597764998215518
320017216,MYS,10,0.007645776452645817,0.007645776452645817
333316512,PER,10,0.007231380717494834,0.007231380717494834
320467104,CZE,10,0.0071189071149696664,0.0071189071149696664
328149216,PER,10,0.0070122807066841444,0.0070122807066841444
330359488,PER,10,0.006808669954192903,0.006808669954192903
328429216,PER,10,0.006565703837186394,0.006565703837186394
335442912,CZE,4,0.015418940582518324,0.00616757623300733
317976608,ARE,10,0.006133627779345294,0.006133627779345294
324770112,MEX,9,0.006798407880960498,0.006118567092864449
329794016,HUN,10,0.005838141951614852,0.005838141951614852
333996000,IND,9,0.006442720829209336,0.005798448746288402
336056000,COL,10,0.005629765426896554,0.005629765426896554
325626208,PER,10,0.005456706270337935,0.005456706270337935
333107904,CZE,9,0.005872550224919252,0.005285295202427327
325322592,PHL,10,0.005243602680176193,0.005243602680176193
329792416,CHL,3,0.017381694246757205,0.005214508274027162
331933216,ARE,9,0.005787512356474338,0.005208761120826904
324374208,PER,10,0.005095410629058316,0.005095410629058316
320276896,IDN,10,0.005088200850258321,0.005088200850258321
331134304,KOR,10,0.005057933928482068,0.005057933928482068
328678592,KOR,10,0.0050279651665119645,0.0050279651665119645
328531808,CHL,10,0.005021205227922541,0.005021205227922541
321176192,CHN,7,0.007169203737875339,0.005018442616512737
336732096,CZE,1,0.05000000240912558,0.005000000240912558
325304896,MYS,10,0.004873599656786435,0.004873599656786435
321452608,HUN,10,0.004498316784126899,0.004498316784126899
326072992,MYS,6,0.007278243081061234,0.00436694584863674
321183616,KOR,10,0.004337401077072188,0.004337401077072188
332766112,EGY,10,0.004267879559869898,0.004267879559869898
335470016,CZE,6,0.0070670302807646,0.0042402181684587596
