id,country,rebalances_held,mean_weight_when_held,time_avg_weight
328286112,PER,10,0.03585212067460246,0.03585212067460246
333316512,PER,10,0.030931405565396496,0.030931405565396496
333309792,PER,10,0.030313435666943316,0.030313435666943316
325626208,PER,10,0.026975349038620845,0.026975349038620845
330360000,PER,10,0.025038776848519288,0.025038776848519288
332766112,EGY,10,0.021561328505146613,0.021561328505146613
330363904,PER,10,0.019999790402604613,0.019999790402604613
320527008,PER,10,0.019940685889921574,0.019940685889921574
325464416,PER,10,0.01958077007729104,0.01958077007729104
328473408,PER,10,0.019424576120024142,0.019424576120024142
321238816,PER,10,0.019280182158055652,0.019280182158055652
320017216,MYS,10,0.01883256106989915,0.01883256106989915
329803008,PER,10,0.01806509341473931,0.01806509341473931
321386400,PER,10,0.01630154686966922,0.01630154686966922
334138688,PER,8,0.01885865599848891,0.015086924798791129
324374208,PER,10,0.013506729467904124,0.013506729467904124
310223616,ZAF,8,0.016827607309465673,0.013462085847572539
328851904,ZAF,10,0.013139632089322523,0.013139632089322523
329007616,PER,10,0.013106312179212648,0.013106312179212648
324770496,PER,4,0.03199662862338726,0.012798651449354903
336066816,COL,10,0.011227853521202136,0.011227853521202136
320845312,PER,10,0.010323731206008149,0.010323731206008149
324527296,PER,10,0.010071934361729288,0.010071934361729288
328554592,POL,10,0.009920090429161903,0.009920090429161903
324020896,ZAF,10,0.009334777345311357,0.009334777345311357
320994912,ZAF,10,0.009148110966393919,0.009148110966393919
328530112,PER,10,0.00891911876179785,0.00891911876179785
328149216,PER,10,0.00874052819617334,0.00874052819617334
321020800,PER,10,0.008404251125256616,0.008404251125256616
320276896,IDN,10,0.007901280602007286,0.007901280602007286
321345696,EGY,7,0.011264985930657624,0.007885490151460336
332417312,POL,10,0.0075231359944432485,0.0075231359944432485
325105888,ZAF,10,0.007474098705659964,0.007474098705659964
321238912,PER,8,0.00924221137178499,0.0073937690974279924
329499808,ZAF,6,0.012207816244299223,0.007324689746579534
328638400,POL,10,0.0073240834955747795,0.0073240834955747795
333956096,PER,7,0.009380375684264529,0.00656626297898517
324529504,PER,7,0.009348392171312838,0.006543874519918986
325322592,PHL,10,0.006442042100766395,0.006442042100766395
323205888,MYS,10,0.006260445231757406,0.006260445231757406
321224000,ZAF,8,0.00771989954913643,0.006175919639309144
328173312,ZAF,3,0.02017146556113338,0.006051439668340014
329393696,KOR,10,0.0059269181282182015,0.0059269181282182015
333492896,IND,5,0.011400328247971755,0.005700164123985878
333674592,PER,10,0.005638550622420702,0.005638550622420702
332661696,IND,10,0.005629512531546191,0.005629512531546191
320582592,ZAF,10,0.005593609914038899,0.005593609914038899
328850592,PER,10,0.005550347053355222,0.005550347053355222
321678400,IDN,10,0.005489814301226927,0.005489814301226927
310257216,ZAF,10,0.005454123949953529,0.005454123949953529
324921888,EGY,10,0.005303549442522394,0.005303549442522394
328213888,POL,10,0.005286197924312697,0.005286197924312697
332527296,POL,9,0.00579343183294544,0.005214088649650896
329032512,POL,9,0.005676865762333925,0.005109179186100532
327303296,PER,2,0.025000003833358857,0.005000000766671771
320698496,PHL,10,0.004988755608872507,0.004988755608872507
325729504,POL,7,0.007057413280082871,0.00494018929605801
322943616,ZAF,10,0.0049250602495280755,0.0049250602495280755
328245600,ZAF,10,0.004805391025209696,0.004805391025209696
325863808,MYS,10,0.00477978929053993,0.00477978929053993
333072512,MYS,3,0.015855803040078362,0.0047567409120235086
320003008,COL,10,0.00452987101044742,0.00452987101044742
329783296,PER,10,0.004517233588236513,0.004517233588236513
320394688,IDN,10,0.004348592836968953,0.004348592836968953
324527200,PER,10,0.004215247841371832,0.004215247841371832
