variant,trial_number,epoch,train_loss,val_loss,corr_6m,base_corr_6m,path2_corr_6m
fourier,1,1,1.2314437485876537,1.1631808271010717,0.13200303063107033,0.07597393948041524,0.1323998779601728
fourier,1,2,0.9068461827460735,0.9836363618572553,0.14308189045405015,0.08794728528543298,0.143087470944738
fourier,1,3,0.7935027942534477,1.100116738428672,0.13765648438129574,0.08617040905325363,0.13767458791068446
fourier,1,4,0.6262435591410077,1.1174518771469593,0.11905012905287246,0.08887746948748827,0.11907538964102665
fourier,1,5,0.48281139312755494,0.991671098023653,0.11603096013423056,0.09828974495952328,0.11603228661697358
fourier,1,6,0.438286093137567,1.264466116577387,0.11664349955196182,0.10925189302458117,0.1165831366709123
fourier,1,7,0.38394661244773676,1.3492912920812765,0.09449774383877714,0.10750530525886764,0.0941292943743368
fourier,1,8,0.3914129667220608,1.0954028180489936,0.10388094587251544,0.11499904252123087,0.10288223680108785
fourier,1,9,0.3476472496986389,1.118719032406807,0.10709421006031335,0.12295071433763952,0.1045431686254839
fourier,1,10,0.3486596933669514,1.27656061972181,0.10012956983797873,0.12705645947329078,0.09626299503288464
fourier,1,11,0.3108357543805762,1.1778178519258897,0.10289661549031734,0.12838165088711928,0.09854874188701311
fourier,1,12,0.32241124163071316,1.1429963647698362,0.10555701744742692,0.12993087294356276,0.09797062103947003
fourier,1,13,0.27164971971300444,1.1668085298190514,0.09634169619918491,0.13033095370046793,0.08717372300840603
fourier,1,14,0.2529541494783073,1.5323568561424812,0.09676779395279785,0.1301693841543359,0.09071973760534699
fourier,1,15,0.2786585853808367,1.2383609561870494,0.10048471208040913,0.13056611234884866,0.09270701138302684
fourier,1,16,0.24209452410494642,1.3510957072178522,0.1056530443020165,0.13086148522173366,0.10002698671693604
fourier,2,1,1.0922168826181737,0.8824209317564964,0.14346433056052774,0.11399496881834542,0.1434507101153334
fourier,2,2,0.9370253610587309,1.3311259927848975,0.13409070738901693,0.12713380456552842,0.13393758973106742
fourier,2,3,0.8283077811024019,8.936903406990071,0.13922707559540867,0.1309384395601228,0.13747699212593337
fourier,2,4,0.7326058093356782,5.906960218213499,0.14090072119918962,0.13339882778430667,0.13812838988378645
fourier,2,5,0.6099555280469802,3.8086238973153135,0.13186985917078953,0.12045218214237442,0.1267167842403675
fourier,2,6,0.4338680799340918,1.6794540715714297,0.13353058985667304,0.11957971568335779,0.12631205459280562
fourier,2,7,0.5626668360551804,7.242509623679022,0.14218120725514988,0.11005164817421852,0.13717920073928933
fourier,2,8,0.5301647022364676,1.4005484947934748,0.1339084190238888,0.08207488533419867,0.12878408759521942
fourier,2,9,0.43349672533896944,1.490168960407997,0.13085882018009823,0.1013989985610048,0.12696176273748278
fourier,2,10,0.5923316514300596,1.7701452641437452,0.1264410270222773,0.10026809868092339,0.12250928124024843
fourier,2,11,0.8295908603588089,2.011198195939263,0.1291673164193829,0.10211875430929164,0.12322359386598691
fourier,2,12,0.4868961342449655,2.5007359025999905,0.11996531936456449,0.10853979034194101,0.11404110067524016
fourier,2,13,0.33303609015032026,1.4117579969267051,0.1302081862774988,0.09797055899883465,0.126641375447313
fourier,2,14,0.2814449756498641,2.1316455945372583,0.13324964204221032,0.09399468545452691,0.12824167818568336
fourier,2,15,0.3791265024689011,2.0906301150253666,0.13577141247224062,0.100360478196914,0.13223714626704652
fourier,2,16,0.2395739174953344,1.7168843074391285,0.13019052135253636,0.09845607755705714,0.12692914029272895
fourier,3,1,1.2142387999901696,1.1476985146601995,0.1294094871574392,0.10044636910703654,0.1294005568973565
fourier,3,2,1.0223253780591584,1.0398351793487868,0.13169137439205467,0.09658022155053914,0.1316903431104341
fourier,3,3,0.8513634780806209,1.1535344501336415,0.12874539550005767,0.1078168497653678,0.1287439768202603
fourier,3,4,0.6833824644249583,1.246119582777222,0.1297404388897121,0.1075248608365655,0.12973787668937195
fourier,3,5,0.5833704043771066,1.5252870424340168,0.12938805042455595,0.11603127631824464,0.1293819058065613
fourier,3,6,0.60135502563346,0.9870640156169732,0.12648454502923415,0.12340044747397769,0.12647974393718567
fourier,3,7,0.5910768985807423,0.8816536199301481,0.12307946330790097,0.12565312410976429,0.12305403531451399
fourier,3,8,0.5256391030455393,1.5260792848964533,0.13567255304272596,0.12364717387051011,0.1356917211295998
fourier,3,9,0.4814643129735949,1.600630174825589,0.13845153881411534,0.12388383756236483,0.13857690939718548
