variant,number,value,datetime_start,datetime_complete,duration,params_d_ff_mult,params_d_model,params_dropout,params_grad_clip,params_lambda_aux,params_lambda_aux2,params_lr,params_n_mlp_layers,params_path2_d_ff,params_path2_n_heads,params_path2_n_layers,params_ple_num_bins,params_weight_decay,user_attrs_best_base_corr_6m,user_attrs_best_corr_6m,user_attrs_best_epoch,user_attrs_best_path2_corr_6m,user_attrs_best_train_loss,user_attrs_best_val_loss,user_attrs_last_base_corr_6m,user_attrs_last_corr_6m,user_attrs_last_epoch,user_attrs_last_path2_corr_6m,user_attrs_last_train_loss,user_attrs_last_val_loss,user_attrs_n_epochs_trained,user_attrs_val_sharpe_ls,state
ple,0,1.0635023646059183,2026-08-02 01:06:44.205160,2026-08-02 01:11:47.723110,0 days 00:05:03.517950,2,96,0.07083786293111903,2.2165305913463675,0.17272998688284025,0.17336180394137352,0.00020298058052421552,1,128,2,3,16,4.205156450913872e-05,0.1272783778530235,0.14372453754767775,7.0,0.14090889839765927,0.27516533004578264,0.8613078307360411,,,,,,,15,1.0635023646059183,COMPLETE
ple,1,1.867081108884898,2026-08-02 01:11:47.841007,2026-08-02 01:15:19.954450,0 days 00:03:32.113443,2,128,0.21055143098130855,0.6979873507394163,0.2218455076693483,0.13906884560255356,0.0011679817513130801,2,256,1,1,32,1.5876781526924002e-05,0.09478299592786546,0.13008188545597174,10.0,0.13460682985993724,0.4180474735397775,0.592419448805352,,,,,,,18,1.867081108884898,COMPLETE
ple,2,1.5107765578998416,2026-08-02 01:15:20.068627,2026-08-02 01:20:35.513361,0 days 00:05:15.444734,4,96,0.08209323765495555,4.1608137948444535,0.11809091556421523,0.23013213230530574,0.00029945018361271497,3,128,1,3,32,2.273762810253687e-06,0.09904518754143889,0.11288409938085048,11.0,0.10959308511810377,0.15642450689495216,0.6370503840657572,,,,,,,19,1.5107765578998416,COMPLETE
ple,3,2.263908165269258,2026-08-02 01:20:35.623970,2026-08-02 01:27:17.462862,0 days 00:06:41.838892,2,96,0.08749911579832724,1.623813376406745,0.4452413703502375,0.3493192507310232,0.00022949120907478262,1,256,4,3,16,2.078699690689777e-07,0.13690102105028928,0.12038444347369175,6.0,0.11836922698809454,0.7319116815333329,0.7662775874137878,,,,,,,14,2.263908165269258,COMPLETE
ple,4,0.6105338152054346,2026-08-02 01:27:17.579985,2026-08-02 01:29:20.211610,0 days 00:02:02.631625,4,64,0.22889810705210356,2.110876322874586,0.22574239243053068,0.3034282764658811,0.0032666526101138692,3,512,1,2,8,1.763847954354689e-06,0.09326311473657066,0.10135922300008436,6.0,0.0969340201932937,1.6142589511379364,1.6105529372269909,,,,,,,14,0.6105338152054346,COMPLETE
ple,5,0.37478505055736855,2026-08-02 01:29:20.323718,2026-08-02 01:32:00.419347,0 days 00:02:40.095629,2,128,0.34986963017320993,0.13406543960283446,0.1911740650167767,0.27084311545050255,0.0021627162139822797,3,128,1,1,8,0.002012115544906383,0.027964405561215246,0.15390555275856363,6.0,0.15282952174699554,1.3703589428822318,1.168511627862851,,,,,,,14,0.37478505055736855,COMPLETE
ple,6,1.7253327180770262,2026-08-02 01:32:00.532210,2026-08-02 01:44:14.361427,0 days 00:12:13.829217,4,128,0.2841773939691194,4.550502841236603,0.3438257335919588,0.30107160929154464,6.33763913490815e-05,2,128,1,3,32,2.4730467210999103e-06,0.10021990426369788,0.13326861715953175,33.0,0.13177102619665676,0.08567949664552182,0.8682282035549481,,,,,,,41,1.7253327180770262,COMPLETE
ple,7,2.491451499340662,2026-08-02 01:44:14.475015,2026-08-02 01:48:08.735197,0 days 00:03:54.260182,2,64,0.2940043759586253,2.609255985666477,0.11631005662190558,0.33635717727529674,0.0011326578206974436,2,128,1,2,16,1.2104285107995006e-07,0.10367878440301866,0.10883947517722845,13.0,0.10817280053161085,0.9694610660126994,0.6338437146196763,,,,,,,21,2.491451499340662,COMPLETE
ple,8,-0.33730293022588875,2026-08-02 01:48:08.852647,2026-08-02 01:53:56.215894,0 days 00:05:47.363247,4,128,0.05425467328382974,1.7612459761386334,0.1372411071223597,0.4588863031813307,0.0031608662450720105,3,128,4,3,32,0.0001463886097662144,0.031376654150274894,0.04052443380545204,12.0,0.12885126546413328,1.6466088460551367,1.7793123393009107,,,,,,,20,-0.33730293022588875,COMPLETE
ple,9,2.1491194686025703,2026-08-02 01:53:56.331189,2026-08-02 01:56:38.280803,0 days 00:02:41.949614,4,64,0.3604361335255609,1.6944585209804122,0.3607845038010402,0.18970772378422393,0.0013283987156443087,2,512,2,1,32,1.5354845024150166e-06,0.1222601243838047,0.13295609560639907,8.0,0.12594053220915763,0.6820781586413633,0.691322845313698,,,,,,,16,2.1491194686025703,COMPLETE
