variant,trial_number,epoch,train_loss,val_loss,corr_6m,base_corr_6m,path2_corr_6m
linear,1,1,1.1521592450047295,1.1347571641206742,0.10673214987036772,0.10234411814405273,0.12276562233455479
linear,1,2,0.9656959280282968,0.9879548353453477,0.13852897324056054,0.10574513207150933,0.13838680183204513
linear,1,3,1.1210934471279856,0.9439087208360434,0.12879752775576586,0.10074612421449274,0.12781291923796137
linear,1,4,0.5948986796854389,1.1269868222375712,0.13572628144174814,0.11195956295899426,0.1354464761602382
linear,1,5,0.9212653762291348,1.212247942139705,0.14251734835949417,0.10187462853306593,0.14515309642689925
linear,1,6,0.7795382282874059,1.147151533017556,0.13764010836991172,0.10900983369501774,0.13423357142989215
linear,1,7,0.49328932040444917,1.1183314739416044,0.1420477598439902,0.12424184713551464,0.13929342892370186
linear,1,8,0.3659212772109886,0.8857456361254056,0.12987616307412583,0.11395924054086208,0.12248318710674842
linear,1,9,0.4255037941500574,0.8877896498888731,0.12564110964885913,0.11326053789040695,0.1257114226464182
linear,1,10,0.34911897729311714,0.9027760683869323,0.1370307843494326,0.11389438483553628,0.13690072282527885
linear,1,11,0.420683277809682,1.3843631121795625,0.13827811556402594,0.11441036510126044,0.13714983033144865
linear,1,12,0.6787718548718932,1.4090783645088474,0.13489482718675086,0.11617479106256118,0.13323977224063127
linear,1,13,0.34178231252146707,1.2812351324905953,0.1327875985109131,0.11627863811639448,0.13183788556295137
linear,1,14,0.42341462800294044,1.2313904246936243,0.13085736541834195,0.1091527909457606,0.13367779662366958
linear,1,15,0.2698437688578408,1.7360221311450004,0.13680372051361095,0.1152421707365041,0.1398214738330959
linear,1,16,0.1779951396534988,2.039624967922767,0.1374796509121855,0.11024924951586096,0.13855498237147307
linear,2,1,1.6556303232080407,2.2247317572434744,0.13536282965602975,0.11799906335266618,0.14319028196429523
linear,2,2,1.3740898669505166,0.9813969742506743,0.14727861634455622,0.12828989409220715,0.14392515819054097
linear,2,3,1.3576574486621198,2.4756506465375425,0.11860839081928135,0.10716483536719655,0.11661869482680534
linear,2,4,1.5786026952980412,3.106118645084401,0.12827458558992172,0.11430599195106576,0.1217004486718603
linear,2,5,2.186337472360936,4.439219693094492,0.09904547708962734,0.11388899319911919,0.07988914540037513
linear,2,6,2.789837531675215,9.117235564440488,0.13964879859316473,0.12349312099007269,0.1424777044914663
linear,2,7,2.5463776586111635,2.503995168705781,0.14075422472475718,0.12765843937910784,0.1273555428061324
linear,2,8,3.053193942126301,3.766328427692254,-0.09521759724690734,0.11840975709880391,-0.10878396405217548
linear,2,9,3.0414640163145368,3.51646733134985,-0.12253454915092638,0.12233028935734183,-0.14186481249829133
linear,2,10,3.0306330709348597,2.8655575970808664,-0.03958087981057664,0.125040786806494,-0.1225575261283666
linear,2,11,2.611415753052348,2.7306731154521304,0.07844859335261087,0.116006224200828,0.009542383726026553
linear,2,12,2.7256485407669393,4.273260733981927,0.10741727223309377,0.10463763218722306,0.08551155550133747
linear,2,13,2.239967737701677,2.9341319943467776,0.09410769619280472,0.10944125154637732,0.04321317013624745
linear,2,14,2.953253607546526,2.8396310677131016,0.06174508994445205,0.11136309932917357,-0.012594698299653827
linear,2,15,2.4764403399257433,2.3959677862624327,0.10278571614762769,0.11562504189569153,0.07059434101101943
linear,2,16,2.076664306726011,1.9749621956298749,0.08834670494155338,0.12003854965635886,0.0387849664252523
linear,2,17,2.6109580826901255,2.0385439932346343,0.09889805950660957,0.11971343174033487,0.06884917960657427
linear,2,18,2.1162192290796646,1.6649734172970057,0.08776749954558909,0.11512045251826446,0.06532742529719447
linear,2,19,2.5732698293461924,1.8324773607154687,0.0948659846559167,0.1251810051423187,0.06630398005557557
linear,2,20,2.8158437979836313,2.389336483180523,0.11598282938842507,0.12559589957042286,0.03740532490580032
linear,2,21,2.38584031010904,3.480470173060894,0.07739352670808633,0.13160402603098192,-0.02150334157049656
linear,2,22,2.6625233815007268,3.5636028250058494,0.09331872470211237,0.13518693492903064,0.013349482989481961
linear,2,23,2.9555470894371707,3.610532535115878,0.08499772906458626,0.11688257366574059,0.025415891903079076
linear,2,24,2.9047052289935804,2.737163698176543,0.07068400083420177,0.111920002514186,0.03286904826090904
linear,2,25,2.4585060487013486,7.596327897409598,0.07534750921186059,0.11776777583387836,0.03342150243309637
linear,2,26,2.914122188641202,3.4569714233279227,0.08000932876796772,0.11840435011593703,0.04224087690624098
linear,3,1,1.3335523456335068,1.5640700697898864,0.12479534096394976,0.08861935223491552,0.12515103206969797
linear,3,2,1.1061871920727075,1.14898054326574,0.13530907390716795,0.10326295476794864,0.1365251346025616
linear,3,3,1.471047497502277,1.477839191754659,0.10433069467544556,0.09607300247686605,0.11567150947327415
linear,3,4,1.122355029548681,6.899270863210162,0.12653688778712724,0.11916632755601313,0.12686466441858404
linear,3,5,1.2264537769739354,1.7464844851444166,0.13338307492425278,0.10930348043330014,0.13573008539581982
linear,3,6,1.360945010446899,2.2141062022497255,0.1173262096514615,0.1280658267448113,0.1224566290465494
linear,3,7,1.104455848224461,2.9539316686491173,0.08153320002602413,0.1269473468050516,0.0790696538092258
linear,3,8,1.4708046188341484,3.137254246324301,0.03699219985477006,0.10486327638209332,0.03378150211647153
linear,3,9,1.6332558165821764,3.217937249193589,0.008587368430259328,0.1083349823190171,0.005416976963169872
linear,3,10,1.7041473553649016,3.102271215369304,0.042566505691623506,0.11472105923263977,0.0400903394096531
linear,3,11,1.792774412367079,2.475956479460001,0.08398683577543124,0.1255484002487113,0.07903968328610063
linear,3,12,1.5986215138719195,2.3113369156916934,0.06849261987954378,0.12449390739008474,0.06335165902273729
linear,3,13,1.685140159395006,2.3026647876327235,0.06558977506744365,0.12232840623085697,0.061212478865248464
linear,3,14,1.6247234145800273,2.254346685608228,0.06528360926701376,0.12221891009248793,0.0600597576238215
linear,4,1,1.0583679125984273,0.9881088008483251,0.11669081707174579,0.08947165589003513,0.10336021953262389
linear,4,2,0.7400262175305259,1.3415544313689074,0.08784015322550355,0.10497832923817138,0.08471976289680848
linear,4,3,0.7484264206289063,1.2395984919120868,0.10084040347331515,0.12787711194250734,0.09356837858795189
linear,4,4,0.7781040720283128,1.1356081588814655,0.10597234276356175,0.12900694951725503,0.09503971477970481
linear,4,5,0.7848224403550996,1.412271846458316,0.10990548070791799,0.11600167596091827,0.10750929576267178
linear,4,6,0.8736781108337233,1.950541920090715,0.11766284051506469,0.12229999384144322,0.11506184513370196
linear,4,7,1.2853914073165802,1.2576956070959568,0.10348621273466657,0.11698556245925526,0.09772117471632859
linear,4,8,1.1528968494616463,1.3464153745522103,0.10287214222674569,0.1236666487173352,0.09990583540250858
linear,4,9,1.6145598371180572,1.0208706709866722,0.107107742720594,0.12349770767711259,0.10474543371625865
linear,4,10,1.1260710461249959,1.212055641350647,0.11733627351932227,0.10665208648424596,0.11536688583825404
linear,4,11,1.4079376946366022,1.3449976827328405,0.12539077318894368,0.10803175468269426,0.12389811753916244
linear,4,12,1.3806299350320523,1.2011247605861475,0.1170272525875286,0.09681857624091209,0.11634445827415524
linear,4,13,1.0039088365377946,1.1209882254712284,0.11590693724962572,0.09327734635832409,0.11526958416216075
linear,4,14,1.1028965791236491,1.1061156678944826,0.12136341013635198,0.10671601522093017,0.12097335398818056
linear,4,15,1.24821076832623,1.2553576280518124,0.12460418618284166,0.11747793016135498,0.12415502566533784
linear,4,16,1.149532355855973,1.952267814858351,0.12949425543192775,0.12759731590437393,0.12903655253661175
linear,4,17,1.2208598661254944,2.0858490461328376,0.12849364490248263,0.1195261324076758,0.12813243160489945
linear,5,1,1.0273380676868358,0.7907118654499451,0.1426957543939352,0.09479579339385964,0.14579294149298222
linear,5,2,1.0179966145180284,1.0475159873565039,0.14684412508892516,0.08856704077140118,0.14783709427380623
linear,5,3,0.9665689583690393,0.8307944665352504,0.1303213277448473,0.08854375114509215,0.1352759955683723
linear,5,4,0.9354624365315964,1.0567690109213193,0.12362001240544487,0.09435842365492135,0.12855795963356892
linear,5,5,0.8064221907554875,0.8652120257417361,0.12568129984041054,0.08856297614208113,0.13584459601746252
linear,5,6,0.8925137709353178,1.1259819989403088,0.15414650957100093,0.10054649953575184,0.15478301480373677
linear,5,7,0.7184010442671558,1.0998679327468077,0.1480557562938581,0.11553658154637864,0.15172111285743692
linear,5,8,0.6289987812957002,1.1320031397044659,0.1458230119276171,0.11714019750167305,0.14441218943878387
linear,5,9,0.6871150120915401,0.9983598673716187,0.14268419531484444,0.10864495506199698,0.14414160447971275
linear,5,10,0.48142960225971093,0.7650422071417172,0.14515588223778952,0.09856231414790576,0.1493380115988354
linear,5,11,0.3916651576033069,1.062698423365752,0.14603764340281486,0.09688925715939452,0.1469855269106726
linear,5,12,0.4815099641850721,1.1253807902336121,0.15173719450831413,0.0998052654749093,0.15317985030512016
linear,5,13,0.4377080792522368,0.8373860531797012,0.1409814334474504,0.1064331940530489,0.1446157225097219
linear,5,14,0.38090299525009913,1.0925280679017306,0.14216806984816988,0.11603461111953947,0.14480416102645297
linear,5,15,0.4533647341165869,0.8080024159823854,0.1288929831702262,0.10812132143570731,0.12555218974594026
linear,5,16,0.30747522141401923,0.8857003882527351,0.13906500012769055,0.11204499319040527,0.1398787210365602
linear,5,17,0.23734450201265558,0.9072943662914137,0.13806004693421225,0.11377687392911563,0.13870422689554593
linear,5,18,0.2269322393824243,0.7714632859764,0.13037969978371014,0.10709657345820839,0.12894304876366125
linear,6,1,1.19501811880914,1.1589523682991663,0.0953244859954187,0.09585954250069335,0.03895450703566894
linear,6,2,1.0131112636909598,0.8937175417939822,0.10937116683732408,0.10777602277812548,0.1263997451416799
linear,6,3,0.8257705894195371,0.7904453093806902,0.12986402413031709,0.12709733520168812,0.13583836169952215
linear,6,4,0.5945507845294381,1.0684074833989143,0.13438809473300353,0.1189443515924116,0.13745963478383297
linear,6,5,0.5337565942512205,0.812332521378994,0.1329082336043939,0.11718285526925078,0.14005657114709416
linear,6,6,0.3942871287017913,0.8328134041279555,0.1367488768417388,0.11685284854223331,0.14260708848014475
linear,6,7,0.2727823573726392,1.000602659334739,0.13643843222913954,0.10692590414158379,0.14404720046247046
linear,6,8,0.3084556331991085,1.0145665692786376,0.14079508666569987,0.1144033557541358,0.14653854152032483
linear,6,9,0.26128797826314687,1.0060783460736276,0.1408309439740454,0.11004250541639825,0.14805196579545737
linear,6,10,0.22538852661530237,0.9662664073519409,0.14041515802770543,0.11768726999871433,0.14863420940625172
linear,6,11,0.24745847661757753,1.3693767371277015,0.14342676879217228,0.1177478801071023,0.15091708808031398
linear,6,12,0.1616762188994991,1.0096287368486325,0.1396595826993386,0.10401227025625606,0.15019084426263968
linear,6,13,0.16435602163186386,1.0130936823785306,0.14235294835137513,0.11212238948016116,0.15013255414475377
linear,6,14,0.14472334423575492,0.9481618029686312,0.1413436903540666,0.11831003001425415,0.1502290368914449
linear,7,1,1.0704772869154575,0.8905777086814245,0.1381464865349699,0.11106851074825196,0.13927617964024344
linear,7,2,0.7163795251694937,0.8200376830995083,0.14326902062166483,0.11172233365941793,0.14417942850850524
linear,7,3,0.6075388116555082,0.9162680593008796,0.13207870821934192,0.102566868350065,0.13194306649578114
linear,7,4,0.7400501802312358,1.8013414391006033,0.13672136433888227,0.122466712561436,0.1369542685201547
linear,7,5,0.7882060098354631,0.6914488793040315,0.128161496296525,0.11893315863756773,0.12594622986895654
linear,7,6,0.5622390844297432,1.0846199421832958,0.1286976754665375,0.1203529230124938,0.12772669136174955
linear,7,7,1.1838185604946274,0.6369721805055936,0.12224022122148502,0.12745620149653406,0.11934044005077643
linear,7,8,1.3234114422987673,0.7787726532512654,0.10940741496439538,0.1233154327996696,0.1075798835993434
